ID1,gene1,ID2,gene2,value,gene_compare
1,ABCA5,71,CD14,0.00973,ABCA5--CD14;
1,ABCA5,281,NFKBIB,0.02778,ABCA5--NFKBIB;
1,ABCA5,306,PIK3R2,0.04175,ABCA5--PIK3R2;
29,ALOX15,148,ERG,-0.10322,ALOX15--ERG;
30,ALOX15B,35,ANPEP,-0.21028,ALOX15B--ANPEP;
30,ALOX15B,94,CNTNAP2,-0.04668,ALOX15B--CNTNAP2;
30,ALOX15B,148,ERG,0.03964,ALOX15B--ERG;
30,ALOX15B,175,GDF15,-0.00089,ALOX15B--GDF15;
30,ALOX15B,276,NAT1,-0.01169,ALOX15B--NAT1;
35,ANPEP,148,ERG,0.00265,ANPEP--ERG;
94,CNTNAP2,148,ERG,0.00732,CNTNAP2--ERG;
148,ERG,153,F5,-0.04341,ERG--F5;
148,ERG,176,GHR,-0.06995,ERG--GHR;
148,ERG,199,HPGD,0.0947,ERG--HPGD;
148,ERG,276,NAT1,0.03042,ERG--NAT1;
148,ERG,310,PLA2G7,-0.17391,ERG--PLA2G7;
153,F5,310,PLA2G7,-0.01863,F5--PLA2G7;
155,FABP4,185,GREM1,-0.00332,FABP4--GREM1;
156,FASN,175,GDF15,-0.00878,FASN--GDF15;
156,FASN,200,HPN,-0.08667,FASN--HPN;
156,FASN,317,PLN,0.013,FASN--PLN;
161,FGFR2,402,TRIM29,-0.0519,FGFR2--TRIM29;
165,FOLH1,200,HPN,-0.02726,FOLH1--HPN;
165,FOLH1,317,PLN,0.01744,FOLH1--PLN;
175,GDF15,200,HPN,-0.06514,GDF15--HPN;
204,IER3,313,PLAUR,-0.00027,IER3--PLAUR;
213,IL6,214,IL8,-0.13551,IL6--IL8;
213,IL6,313,PLAUR,-0.08736,IL6--PLAUR;
236,KRT15,237,KRT5,-0.06744,KRT15--KRT5;
236,KRT15,402,TRIM29,-0.05616,KRT15--TRIM29;
237,KRT5,402,TRIM29,-0.13528,KRT5--TRIM29;
264,MMP7,343,RARRES1,-0.06565,MMP7--RARRES1;
281,NFKBIB,306,PIK3R2,-0.01038,NFKBIB--PIK3R2;
300,PDK4,306,PIK3R2,0.01107,PDK4--PIK3R2;
306,PIK3R2,317,PLN,0.04297,PIK3R2--PLN;
353,SERPINB,402,TRIM29,-0.16045,SERPINB--TRIM29;
