ID1,gene1,ID2,gene2,value,gene_compare
1,ABCA5,71,CD14,0.0804,ABCA5--CD14;
1,ABCA5,270,MTHFD2,-0.01221,ABCA5--MTHFD2;
1,ABCA5,281,NFKBIB,0.09474,ABCA5--NFKBIB;
1,ABCA5,300,PDK4,-0.01814,ABCA5--PDK4;
1,ABCA5,306,PIK3R2,0.09673,ABCA5--PIK3R2;
1,ABCA5,313,PLAUR,0.00933,ABCA5--PLAUR;
1,ABCA5,317,PLN,-0.02389,ABCA5--PLN;
10,ADIPOQ,155,FABP4,-0.04142,ADIPOQ--FABP4;
28,ALOX12B,389,TIMP3,-0.02996,ALOX12B--TIMP3;
29,ALOX15,148,ERG,-0.1447,ALOX15--ERG;
30,ALOX15B,35,ANPEP,-0.25764,ALOX15B--ANPEP;
30,ALOX15B,94,CNTNAP2,-0.07091,ALOX15B--CNTNAP2;
30,ALOX15B,148,ERG,0.05261,ALOX15B--ERG;
30,ALOX15B,175,GDF15,-0.02625,ALOX15B--GDF15;
30,ALOX15B,256,MME,-0.01745,ALOX15B--MME;
30,ALOX15B,276,NAT1,-0.0417,ALOX15B--NAT1;
35,ANPEP,94,CNTNAP2,-0.01047,ANPEP--CNTNAP2;
35,ANPEP,148,ERG,0.01758,ANPEP--ERG;
35,ANPEP,402,TRIM29,-0.01124,ANPEP--TRIM29;
45,APOE,300,PDK4,0.01506,APOE--PDK4;
80,CDKN1A,213,IL6,-0.02914,CDKN1A--IL6;
87,CHGA,327,PSCA,-0.00004,CHGA--PSCA;
94,CNTNAP2,148,ERG,0.02405,CNTNAP2--ERG;
138,EMP1,213,IL6,-0.01517,EMP1--IL6;
143,ERBB3,200,HPN,-0.05003,ERBB3--HPN;
148,ERG,153,F5,-0.06381,ERG--F5;
148,ERG,176,GHR,-0.11213,ERG--GHR;
148,ERG,190,GUCY1A3,-0.01046,ERG--GUCY1A3;
148,ERG,199,HPGD,0.12465,ERG--HPGD;
148,ERG,276,NAT1,0.0548,ERG--NAT1;
148,ERG,310,PLA2G7,-0.21404,ERG--PLA2G7;
148,ERG,325,PRAME,-0.00351,ERG--PRAME;
153,F5,310,PLA2G7,-0.05848,F5--PLA2G7;
155,FABP4,185,GREM1,-0.04635,FABP4--GREM1;
156,FASN,175,GDF15,-0.04384,FASN--GDF15;
156,FASN,200,HPN,-0.14709,FASN--HPN;
156,FASN,317,PLN,0.06567,FASN--PLN;
161,FGFR2,188,GSTP1,-0.02171,FGFR2--GSTP1;
161,FGFR2,402,TRIM29,-0.09803,FGFR2--TRIM29;
165,FOLH1,175,GDF15,-0.02482,FOLH1--GDF15;
165,FOLH1,200,HPN,-0.06901,FOLH1--HPN;
165,FOLH1,317,PLN,0.06055,FOLH1--PLN;
175,GDF15,200,HPN,-0.10077,GDF15--HPN;
175,GDF15,317,PLN,0.01407,GDF15--PLN;
200,HPN,317,PLN,0.02928,HPN--PLN;
204,IER3,313,PLAUR,-0.07775,IER3--PLAUR;
212,IL1B,213,IL6,-0.00717,IL1B--IL6;
212,IL1B,313,PLAUR,-0.01192,IL1B--PLAUR;
213,IL6,214,IL8,-0.19218,IL6--IL8;
213,IL6,313,PLAUR,-0.12847,IL6--PLAUR;
214,IL8,313,PLAUR,-0.04232,IL8--PLAUR;
236,KRT15,237,KRT5,-0.14118,KRT15--KRT5;
236,KRT15,402,TRIM29,-0.0977,KRT15--TRIM29;
237,KRT5,353,SERPINB,-0.02207,KRT5--SERPINB;
237,KRT5,402,TRIM29,-0.18109,KRT5--TRIM29;
257,MMP1,313,PLAUR,-0.01258,MMP1--PLAUR;
264,MMP7,343,RARRES1,-0.11636,MMP7--RARRES1;
270,MTHFD2,402,TRIM29,0.00728,MTHFD2--TRIM29;
281,NFKBIB,306,PIK3R2,-0.07684,NFKBIB--PIK3R2;
281,NFKBIB,317,PLN,0.0032,NFKBIB--PLN;
300,PDK4,306,PIK3R2,0.05,PDK4--PIK3R2;
300,PDK4,317,PLN,-0.00416,PDK4--PLN;
306,PIK3R2,317,PLN,0.09899,PIK3R2--PLN;
353,SERPINB,402,TRIM29,-0.2084,SERPINB--TRIM29;
