,GSM476089,GSM476090,GSM476091,GSM476092,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
FMN1,11.86709439,11.95241285,11.97089823,12.15020405,6.3122,5.9823,5.6325,5.3244,5.1943,7.0268,8.1348,7.4971,7.7043,7.2078,6.0636
FMT1,3.089595919,2.577406606,3.139954462,3.993201188,0.2223,0.2331,0.195,0.2053,0.1881,0.1078,0.1772,0.2365,0.287,0.2441,0.2861
FPS1,13.43974108,13.53317254,13.47238582,13.50155266,13.1577,12.9599,13.1997,13.133,12.7608,13.3198,14.23,14.2438,13.8327,15.0409,14.6298
FRS1,13.60048077,13.92454184,13.76000515,13.81468315,7.6345,6.3038,6.4192,5.9996,6.7472,6.4387,5.5917,5.9212,7.4285,6.7119,6.7204
FRS2,13.01598955,13.09136556,12.93497797,13.03679857,11.5717,7.1468,10.3551,7.1518,9.5122,8.2996,7.5103,6.2361,11.3509,12.0389,8.5372
FUM1,14.09517503,13.94034921,13.74595006,14.14606442,4.6838,3.7445,5.34,4.2724,5.2981,3.9049,3.5658,3.1321,3.9319,3.3015,4.7212
FUR4,8.138703923,7.91910839,8.036532171,8.267096912,1.946,1.7862,1.8082,1.5346,1.3917,1.0303,1.0284,1.2207,1.7295,1.7778,2.0493
FUS1,9.956205833,9.888884797,9.591747017,9.998195418,0.139,0.2449,0.3064,0.303,0.3935,0.2812,0.301,0.1552,0.1568,0.1539,0.1346
FZO1,11.75799527,11.82055584,11.65211673,11.69419369,0.8886,1.2349,1.0365,1.4278,1.6029,1.3257,1.4038,1.2808,1.1079,0.9232,0.9092
GAA1,12.00076535,11.91361816,12.13369068,12.08459029,1.0313,0.6847,1.0432,0.8241,1.1832,1.2533,1.0755,0.7404,1.1453,0.8046,0.7397
GAL10,4.887627311,4.792966535,4.986926141,4.792966535,0.3121,0.3946,0.995,0.7529,1.0937,1.9921,2.0084,0.7471,0.8459,0.3299,0.2372
GAL7,9.323703174,9.471558992,9.503609465,9.302361845,1.0487,1.3269,2.3307,2.5998,4.3467,3.8439,3.37,1.8393,1.2818,1.0217,1.3916
GAP1,14.77413158,14.81409443,14.75678949,14.89146405,1.2949,1.2092,1.0342,1.0612,1.1278,0.9138,0.7583,0.9262,1.1263,1.2332,1.2358
GAR1,11.7686648,12.30668245,12.38189676,11.83567866,16.1905,20.3618,12.6178,14.9607,7.0725,4.1241,5.0755,11.2377,10.7281,15.643,17.8222
GAS1,14.13484814,14.04848467,14.04314769,14.18455383,13.6796,12.1826,8.1291,8.0259,4.6017,3.2627,3.596,11.4808,14.1638,13.5207,18.2712
GAS2,5.870196101,6.024492545,6.192816182,5.783602957,12.8307,10.8454,14.6434,13.7657,15.379,13.3788,13.257,11.5903,14.4423,11.1296,10.373
GAS4,2.45134683,2.076886087,2.19970162,2.060887161,3.6934,4.1535,3.4732,3.8224,3.2236,2.8541,2.6688,2.8461,2.408,2.9558,3.254
GAS5,13.05416865,13.08766433,12.90140357,13.41777827,4.1049,4.8095,2.4334,3.0052,2.7737,0.993,0.8327,2.6644,3.2603,3.0534,5.3363
GCD10,10.69751076,11.10408551,10.73419321,10.95523911,2.7596,1.7281,2.1059,1.5637,1.3694,1.198,1.2818,1.42,2.1644,2.4628,2.4052
GCN2,10.93235578,10.9160009,10.76601674,11.03527466,2.1446,1.9527,1.7498,2.0852,3.412,2.5846,2.5502,2.213,2.5891,1.5844,1.7575
GCN5,12.44125549,12.40373908,12.46401724,12.31887004,1.4832,1.1914,1.3991,1.072,1.217,0.9195,0.743,0.9695,1.3929,1.4174,1.2693
GCS1,12.04815974,11.83277181,11.71809111,11.89931802,5.4522,6.7759,6.9624,8.0743,11.9379,9.5674,8.4672,7.6299,7.3605,5.9559,6.8424
GCV1,11.89133163,11.8410096,11.89346844,11.6695735,2.8611,1.9585,2.9061,2.5156,3.977,3.1365,2.7062,2.5227,3.1847,3.0083,3.0302
GCV3,13.18248787,13.06880642,13.12527775,13.17376491,9.3041,9.9868,8.719,10.9937,7.2579,7.0182,8.3526,9.7889,8.5841,9.6772,10.8067
GDA1,11.6439408,11.65871799,11.66827021,11.78084566,0.893,1.0336,0.579,0.9671,0.7609,0.617,0.5958,1.2861,0.8901,1.0686,1.4486
GDE1,9.790672288,9.863819682,9.861563292,9.99526008,1.6749,2.207,1.2517,1.7244,1.8051,0.9759,1.2127,2.4111,1.7862,1.5744,1.9118
GDH1,14.98894275,14.98283608,14.85611913,15.0609882,8.268,8.2674,9.3377,9.328,19.0149,16.3639,13.9598,11.8054,12.7274,6.6951,8.0094
GDH2,14.43975611,14.42653289,14.69171367,14.57695855,1.3947,2.5038,1.5238,2.6527,3.4358,3.0492,3.5355,7.0957,7.5099,5.1743,3.1274
GDI1,13.89607203,13.76521149,13.70066074,13.76313189,5.622,4.5207,7.1877,7.4402,8.7062,10.6374,10.5027,5.8653,6.5268,4.7749,4.4435
GEF1,12.19734516,12.1912189,12.28177915,12.09358071,1.4597,1.3661,1.4897,1.4716,2.2165,1.8311,1.6832,1.3659,1.4941,1.4844,1.4564
GET1,12.47754306,12.46313639,12.5672585,12.47242797,1.5596,1.8807,1.5453,2.0178,1.4695,1.7114,1.9655,1.83,1.5039,1.927,1.5595
GET3,13.95134473,13.87924877,13.93090426,13.93053064,7.3798,7.8501,6.5353,7.521,9.8919,8.4803,7.8085,8.1698,8.4382,9.5341,9.0263
GIT1,7.836280919,7.928015974,7.660319924,8.635148422,1.3671,1.2721,1.2478,1.3991,1.5649,1.5274,1.5847,1.1612,1.1994,1.041,1.2334
GLE1,11.52349175,11.56620588,11.39337626,11.59842164,1.0095,0.7744,0.8653,0.7892,0.7511,0.6323,0.729,0.8533,1.0466,1.1227,1.0471
GLN1,15.14717632,15.16199104,15.09255947,15.16173528,11.8172,10.2809,8.4114,6.903,5.3401,2.0869,2.234,6.9934,10.583,10.2409,11.949
GLO1,14.72035827,14.57572489,14.69389195,14.71566434,6.4471,5.7662,8.8216,7.7033,7.4801,7.4224,7.7072,6.6321,7.1099,6.2733,5.8333
GLO3,12.89345082,12.9579128,12.89640741,13.05796346,2.064,1.6119,1.7912,1.5662,2.0761,1.6103,1.4017,1.6389,2.2667,1.5078,1.9507
GLT1,13.25459271,13.41728343,13.36727369,12.92675979,4.7173,5.2883,4.2284,4.2526,2.9781,1.3442,1.2212,3.4258,3.9475,4.279,5.9781
GLY1,14.48927739,14.54070474,14.53948378,14.49418089,13.1302,12.642,12.7388,13.8778,17.7908,15.9111,13.8173,13.4809,15.5934,14.1422,11.4727
GMH1,13.15449138,13.09046469,13.24065192,13.11778128,0.1805,0.1888,0.277,0.3021,0.3837,0.4065,0.5886,0.422,0.3762,0.2704,0.3076
GNA1,11.18162744,11.20000366,11.37058066,11.32758946,1.6919,1.6952,2.3745,2.0682,2.7666,5.0803,5.5507,3.4363,2.8881,1.9729,1.7846
GOS1,12.42839131,12.47269035,12.09553849,12.52975967,2.0679,2.6332,3.9293,3.9852,4.246,5.0613,5.1498,2.3936,1.91,1.5937,1.6447
GPA1,11.6996944,11.63244014,11.50112687,11.51012492,0.6373,0.4927,0.6111,0.4944,0.5218,0.6763,0.5674,0.446,0.628,0.4971,0.3956
GPA2,14.09715718,14.08637104,14.0520831,14.11943919,1.1624,1.0019,1.2928,1.041,1.3245,0.9222,0.7042,0.5641,0.7318,0.8001,0.9453
GPD1,14.80122157,14.73719231,14.77315315,14.78253654,12.114,12.1274,15.7267,15.046,18.0718,20.3603,16.791,12.5706,13.0713,7.5945,8.7984
GPI1,11.02257633,11.08815006,11.21351746,11.17485621,1.3098,1.0502,0.9804,0.9668,0.9833,0.6336,0.7242,0.8572,1.2524,1.1326,1.1409
GPI10,11.78918592,11.72358343,11.81216236,11.84176001,0.3072,0.277,0.2601,0.2602,0.3717,0.2452,0.2352,0.2214,0.4218,0.2908,0.3423
GPI12,13.22329577,13.39939607,13.24414231,13.30693839,0.8823,0.9264,1.1037,1.1968,1.4211,2.2887,2.1613,1.33,1.0098,1.024,0.942
GPI13,11.77148025,11.76502956,11.66971279,11.75195005,2.0081,2.0545,1.6204,1.448,1.8019,1.4268,1.3867,2.45,2.2295,1.957,2.4852
GPI15,11.7267752,11.73498012,11.79655707,11.60799698,1.1837,1.1202,1.1317,0.9732,1.0242,1.0551,1.1592,1.1145,1.0238,1.1224,1.099
GPI16,12.97244473,12.98148265,12.91798544,13.18908946,0.5326,0.4495,0.3435,0.3355,0.6613,0.4959,0.5074,0.4366,0.7737,0.4266,0.3759
GPI17,12.65741319,12.56325427,12.589903,12.57510305,1.9285,1.2501,1.8704,1.2662,1.7034,2.124,2.2426,1.2706,2.0806,1.916,1.6879
GPI18,12.1035773,12.239229,12.2964059,12.10106109,3.1795,2.0705,2.8571,2.4245,3.6687,3.9222,3.6112,2.7583,3.8943,3.8022,3.4268
GPI2,9.917396764,9.825878069,9.812894975,10.2543392,1.2231,0.9104,0.9666,1.0318,1.2219,0.8556,0.8596,1.4084,1.1135,1.5673,1.8917
GPI8,11.49282911,11.56199651,11.53397717,11.69385474,2.1022,1.5918,2.0842,1.7339,2.1552,3.4405,3.5092,2.3352,2.6205,2.6416,2.5046
GPM1,15.71612917,15.72493485,15.61810657,15.72865807,28.129,29.3078,27.9978,29.025,29.7714,26.5846,26.022,30.3635,28.9045,28.4765,30.6521
GPT2,14.62177714,14.64833294,14.57671375,14.41752274,1.1161,0.4931,1.0702,0.7851,1.6622,1.1032,0.9254,0.717,1.1518,0.9314,0.8818
GPX1,12.72858917,12.68960527,12.66475835,12.58276609,11.6674,13.8934,20.0805,17.8448,15.8565,30.4028,35.314,21.6673,20.1006,13.391,10.0255
GRS1,13.37139765,13.3553198,13.57862317,13.30454358,8.3035,8.4254,7.8023,8.0661,8.1009,6.2907,5.8117,6.8321,7.8,7.2825,8.7912
GRX1,14.90530644,14.74174049,14.78568425,14.84334191,20.7891,18.2258,23.7787,19.7886,19.5363,28.7514,29.4185,22.8027,25.2013,22.4314,17.3034
GRX2,15.30330186,15.25029896,15.32867837,15.23925535,3.9006,3.9709,4.1249,4.5013,4.5165,4.4843,5.128,3.8598,3.7612,3.8717,3.8168
GRX4,11.60518519,11.73730542,11.79707716,11.52271551,12.7928,10.2691,12.6975,11.1765,9.3471,10.6977,11.8621,10.3793,10.9133,11.6226,11.0019
GRX5,13.29906778,13.25856989,13.28627026,13.13836069,3.083,4.1623,3.0784,4.4265,3.1637,2.797,3.6242,5.22,4.4909,4.3821,4.0957
GTB1,10.6370351,10.61159631,10.63339965,10.80356697,0.3381,0.3035,0.3313,0.34,0.4516,0.2986,0.2918,0.3582,0.3973,0.3828,0.4509
GTR2,13.07081368,13.10591369,13.28017058,13.12943525,2.776,2.9229,3.7545,4.0541,5.2455,4.8582,4.2868,3.9642,2.8427,2.8436,3.4127
GUA1,13.68189572,13.95850545,14.08310347,13.75074822,19.4469,18.0191,17.8968,13.5781,12.487,7.6375,9.1712,13.5877,18.1549,19.5093,22.9764
GUT2,14.77070998,14.39585695,14.59564923,14.65929839,1.4561,3.5985,14.0649,7.7853,7.2673,10.6957,11.1477,2.8561,1.9999,0.9987,1.0073
GWT1,11.65010908,11.66935807,11.82259428,11.69740237,3.0496,2.2081,3.333,2.6055,3.4527,3.0327,2.8499,2.3441,2.9761,2.5992,2.4676
GYP1,11.74961182,11.74513021,11.6968556,11.92094809,0.6162,0.6141,0.6143,0.6494,0.7781,0.6501,0.6285,0.5304,0.5695,0.5565,0.5209
GYP7,12.74021071,12.67956094,12.72408012,12.72875786,0.4645,0.6002,0.5551,0.8158,0.9708,1.1659,0.8981,0.6807,0.5859,0.4296,0.5231
HAS1,9.195123622,9.685095546,9.607805506,9.510187554,4.8417,4.0864,3.0788,2.0481,1.5112,1.1986,1.2999,2.2132,3.4194,4.0215,4.6719
HAT1,10.92026121,11.0599932,10.97943382,11.03599032,2.5532,2.0574,2.1663,2.312,1.5095,1.0874,1.0041,1.6477,2.1592,2.9464,3.1474
HCS1,10.54851149,10.53781166,10.61077277,10.6003325,13.776,11.9797,13.1996,12.1976,12.0859,10.5341,9.8463,11.9514,12.1576,13.7107,15.883
HEM1,13.01398486,12.8792447,12.77181131,13.07706965,3.6361,4.2767,3.2648,3.1225,2.8811,2.0521,2.1825,4.3573,3.7667,3.3522,4.304
HEM13,11.2364931,11.41713236,11.0556266,11.21236499,5.9839,6.6625,7.6569,9.5456,8.8583,5.8542,6.45,8.7214,5.7791,6.3251,7.5565
HEM14,10.76162984,10.78363364,10.77104645,10.67816614,0.6705,0.5467,0.6621,0.6423,0.7272,0.6988,0.7246,0.4776,0.6606,0.5846,0.5406
HEM15,13.3975267,13.36853675,13.36413905,13.34802059,0.9264,0.9254,1.0048,1.0446,1.1387,1.0529,1.0498,1.0859,1.0295,0.9683,0.9404
HEM2,13.60681428,13.72196659,13.53766526,13.67719833,6.3551,5.172,6.0585,5.0951,5.7689,5.7191,5.0052,5.8258,6.0283,7.3962,6.9814
HFI1,10.71189922,10.78180399,10.67520049,10.32196822,1.558,1.027,1.9321,1.3549,1.5976,2.406,2.7516,1.6008,1.8431,1.7823,1.5784
HHT1,14.93555172,14.89527911,14.87480379,14.70012574,17.7204,21.1521,17.655,20.0755,20.7048,16.19,16.1229,17.1557,16.7408,18.3725,17.4145
HHT2,14.99600097,14.9035191,14.77068381,14.74652008,19.1845,19.4587,17.0544,17.2261,18.0937,15.3822,16.3742,19.2165,18.5538,19.9754,20.399
HIP1,11.53712991,11.60148237,11.65834428,11.59786941,1.5191,1.0802,1.296,1.1666,1.4169,1.2682,1.4008,1.106,1.4317,1.1483,1.3139
HIS1,12.69133389,13.03781807,12.99876216,12.55188507,18.2161,19.3993,17.3985,19.4407,15.9986,12.3471,12.5879,17.3882,15.2545,17.5069,20.1381
HIS2,12.11583652,12.00129544,12.22066504,12.11859159,6.3799,4.6624,6.2689,5.59,7.7155,6.5596,6.1519,7.4147,7.8003,6.7914,7.8591
HIS3,11.47044643,11.76412583,11.43015382,11.57718404,7.2499,7.9034,7.3384,9.9751,10.7974,11.0867,10.6727,13.3342,11.1314,10.3794,10.9037
HIS4,13.75173869,13.80833831,13.92433129,13.75616146,6.7821,5.9111,7.1003,7.7028,11.9224,11.5343,11.6714,9.3992,11.4347,7.5137,5.5966
HIS5,13.18171014,13.34343407,13.26592738,12.91690966,9.2642,10.2061,8.6484,8.9759,6.2786,3.5499,4.2806,9.6711,9.7231,9.934,10.4889
HIS7,10.12912322,10.36473718,10.09721581,10.33581917,6.991,5.4044,6.773,6.3892,8.0354,8.6882,8.0874,7.3036,7.1313,8.0037,8.0411
HMG1,12.53762049,12.51235473,12.37867048,12.44178689,4.2179,3.728,4.0341,3.4547,3.9531,3.0564,2.8287,3.7184,4.1639,3.3023,4.6913
HMT1,9.002017686,9.166113828,8.955002514,9.121812423,2.6437,2.1314,3.2222,2.8892,4.3113,5.4012,5.1314,3.0093,2.9597,1.9441,2.4255
HOP1,7.59874168,7.533646471,8.431003009,8.525918872,0.0898,0.1039,0.1525,0.1406,0.2055,0.1936,0.264,0.1926,0.2805,0.2061,0.1348
HOS2,9.669028683,9.227026478,9.479840308,8.514838031,0.5759,0.4353,0.518,0.4172,0.4378,0.3597,0.4234,0.4532,0.5027,0.4626,0.5273
HPT1,11.35692468,11.49158767,11.89651183,11.30860865,6.9961,8.1353,6.5205,8.0462,6.6196,4.1964,4.4635,6.6835,6.0112,7.2632,8.0097
HRD1,13.24706054,13.13478724,13.22012194,13.3404419,1.5808,1.4549,1.7347,1.771,2.1718,2.2421,1.8575,1.2781,1.5671,1.1159,1.2888
HRK1,13.98422403,14.07251487,13.78310167,14.25767744,3.3021,2.8225,2.9524,2.8284,3.6261,2.6838,2.3697,2.0022,2.9953,2.8912,2.7624
HRP1,13.03064801,13.03457267,12.84019831,12.7179112,3.1616,3.0987,2.6713,2.8648,2.3944,2.0363,2.6098,3.0348,2.8298,2.5576,3.1011
HSE1,13.0982938,13.24238159,12.86614178,13.41265169,1.2574,1.781,1.7569,2.4995,2.5513,2.8355,2.8393,2.524,1.865,1.4757,1.6512
HSF1,11.48158201,11.3763528,11.09880634,11.75716052,2.1287,2.2291,2.7592,2.8406,4.4739,3.565,3.0176,2.6474,2.5135,1.5711,1.9248
HST2,11.91704416,11.86869781,11.73274141,12.07116402,0.7277,0.4705,0.6093,0.4322,0.495,0.5134,0.5715,0.4265,0.6799,0.8418,0.7222
HST4,8.948286241,9.016995133,9.13713802,9.099021142,2.1632,2.2431,2.2151,1.9767,2.5818,1.8663,1.8381,2.0151,1.8736,2.2373,2.6467
HTA1,15.04880959,14.99227736,15.09934716,14.94682828,17.1265,19.01,17.4334,21.0258,23.6801,17.7551,16.195,19.7575,17.393,19.8295,19.6086
HTA2,14.12378619,14.0465884,14.24163235,13.99935899,14.3337,16.1557,13.8469,16.4246,16.5447,9.7683,9.9592,14.8949,13.0824,14.3431,14.5363
HTB1,14.82487599,14.65581596,14.67856523,14.78342187,13.4405,19.0374,13.291,19.3645,19.4918,11.6148,12.0846,16.9206,11.6864,12.9816,16.7103
HTD2,10.43682259,10.15518968,10.29632302,10.38846917,1.6953,1.3501,1.3618,1.1515,1.1043,1.2442,1.3754,1.7422,1.6963,2.217,2.0658
HUB1,11.56195377,11.75650437,11.96282941,11.32820537,8.5713,7.2165,7.8572,7.5434,6.7231,9.0406,8.0606,6.0639,6.7781,8.0795,7.5066
HUT1,11.90363068,12.03715699,11.98176471,11.98130252,4.21,3.6166,3.0774,2.5394,1.5749,1.5187,1.9896,2.8986,3.7409,5.1518,4.9712
HXK1,15.73403987,15.67886682,15.56384149,15.65805318,4.1256,4.293,3.7337,3.8794,5.0257,3.695,2.6925,3.8897,4.9526,3.9884,5.2781
HXK2,15.06386424,15.06230031,15.11039483,14.98549765,16.7219,17.8174,15.7415,16.2005,19.76,13.2653,11.4436,12.4925,15.4941,14.5916,16.2766
IAH1,11.09030728,11.09843996,10.99093764,11.14998753,1.6278,1.7954,1.604,1.9228,1.6822,1.742,1.9812,2.4509,2.1521,2.4245,2.6211
IDH1,14.91629374,14.86257078,14.84054147,14.9796053,3.7439,2.8318,3.8924,4.0708,4.117,5.622,5.14,6.2369,4.4022,3.6413,5.0474
IDH2,15.04123714,14.99255028,14.7840617,14.94057194,4.5138,4.7247,4.1091,5.1922,5.8041,6.2739,6.4515,6.8365,5.1912,4.3328,5.0443
IDI1,13.34166376,13.31095038,13.38337523,13.21763893,12.3312,11.9899,11.0448,11.4707,8.7104,6.3246,6.7559,9.7857,10.8919,12.4438,11.3614
IDP1,13.14401829,13.3199493,13.2124009,13.35545535,9.648,8.7017,9.0485,8.617,13.9621,14.3991,12.608,13.8377,12.8947,10.614,11.5622
IES2,11.56601494,11.55716757,11.53398922,11.54543123,4.5737,4.383,4.464,4.0395,3.6614,4.4667,4.5626,4.8203,5.1034,5.1348,4.676
IES4,11.71970302,11.5458431,11.59455795,11.62200109,0.8434,0.7948,0.788,0.8185,0.6403,0.491,0.627,0.9148,0.7398,0.9565,1.0211
IES6,13.57336016,13.65708633,13.80971305,13.53783232,3.9642,3.9789,3.6847,3.8309,3.5916,4.2967,4.8337,4.3035,4.3954,4.0665,3.9853
IKI1,10.18668464,10.18947933,10.26070888,10.25652058,2.6012,2.13,2.4163,2.0001,1.3564,1.5303,1.8777,1.7894,2.026,2.3776,2.2097
IKI3,11.79988527,11.92773335,11.98637168,11.81766619,2.1995,2.4239,1.5262,1.3415,1.1762,0.7845,0.8978,1.6138,1.7513,1.9708,2.4578
ILV1,11.94995538,12.16482678,12.08704045,12.07391131,4.7643,4.5636,4.7857,3.978,5.4808,3.9789,3.4209,4.0252,4.8507,4.197,4.965
ILV5,12.96466159,12.80883205,12.69987539,12.97784851,22.3919,22.8001,21.4343,21.4146,22.9175,17.9038,18.7517,22.671,22.3205,21.2479,26.287
IMG2,12.12920761,12.09691431,12.09540093,12.14850684,3.8058,4.0984,3.1565,3.4729,2.6697,2.8892,3.1627,4.0276,3.8203,4.7859,4.3454
IMP1,12.99413179,12.91323607,13.10275669,12.86787994,5.3551,4.2612,5.2805,4.0103,5.243,4.1624,3.8513,3.3954,5.1043,4.3534,4.0732
IMP2,12.22739942,12.09694825,12.26386636,12.25033292,1.2176,1.1176,1.2321,1.1136,1.4075,0.7116,0.6613,0.8854,1.1788,0.8008,1.3316
IMP3,8.843980021,9.300046868,9.202208196,8.968973405,7.5895,7.5885,5.3063,4.4422,3.2951,2.8199,4.0222,6.0858,6.4309,8.9427,9.092
INO80,12.57913308,12.55585177,12.69356963,12.4689267,1.8652,2.1948,1.6474,2.0019,2.6893,2.144,2.2363,2.1801,1.8266,1.45,1.7158
INP2,9.383218842,9.273616116,9.199589181,9.466612732,2.0669,1.4841,2.109,2.0027,2.3813,2.8527,2.3749,1.5507,2.5948,2.7903,1.526
IPK1,10.64387586,10.55023253,10.57523638,10.27545687,0.787,0.7251,0.5301,0.7587,0.8856,0.5569,0.6641,0.9993,0.9408,0.688,1.1044
IRE1,11.18165936,11.15132812,11.12714252,10.97654391,0.9456,0.998,0.9695,0.9808,1.0318,1.0958,1.0737,0.9297,0.9354,0.9794,1.0433
ISA1,13.17620415,13.04076319,12.95840852,13.01050846,4.612,4.293,3.4404,3.0418,1.3551,1.394,2.755,6.4438,6.1383,6.0659,5.7059
ISA2,13.76413458,13.82488203,13.52686967,13.69452015,2.7976,2.5458,2.8906,3.1055,3.3421,5.0372,5.6511,3.3488,3.0097,2.7022,2.2793
ISD11,13.34367898,13.48788162,13.37164136,13.06857789,3.3648,3.4624,3.5621,3.8657,3.6864,3.8672,4.4338,3.3957,3.4854,3.2002,3.0333
IST1,12.82464694,12.69447021,12.75905532,12.79924726,0.417,0.5519,0.3493,0.52,0.4593,0.3131,0.3154,0.4338,0.5052,0.4075,0.3754
ISU1,15.44321983,15.38540302,15.44561152,15.49317382,5.4516,4.2805,8.1685,6.1408,11.1758,7.7564,6.7152,3.2118,5.0049,4.8989,5.0713
ITR1,14.11283372,13.9896841,13.99056792,13.98678249,2.1963,1.8514,2.5162,2.3094,2.8485,3.3138,3.2111,2.1126,2.3515,2.0059,2.1585
ITR2,12.86356133,12.79118349,12.99312411,12.73134608,3.8893,3.2227,3.8023,3.2295,4.3025,3.7312,3.056,3.2265,3.7798,3.0657,3.4208
ITT1,10.85498595,10.76916409,11.07349123,10.95546379,1.4716,1.5353,1.678,1.7574,2.2187,2.6711,2.4106,1.6302,1.5751,2.3113,1.7198
IWR1,12.84950239,12.82747195,12.93495629,12.74435419,2.5312,3.0365,2.3076,2.1862,1.5155,1.7791,2.3914,2.991,2.7281,2.9225,3.0144
KAP104,12.29802665,12.47492844,12.27971112,12.16975785,2.6889,2.5001,2.4406,2.0129,2.1375,1.67,1.7946,1.9796,2.5043,1.9611,2.3043
KAP114,10.96143701,11.07974372,10.99464052,10.58817901,1.5837,1.6078,1.5109,1.6045,1.9792,1.195,1.1474,1.2366,1.6558,1.4463,1.5422
KAP123,11.83273516,12.18731583,12.57934439,11.82881542,9.4008,10.3166,7.9595,8.2114,4.7841,4.1656,4.5282,8.0311,8.2843,10.3087,11.2066
KAP95,11.43519896,11.42745085,11.30996,11.56621636,3.736,4.3231,3.8853,3.9179,4.4125,3.4212,3.1296,3.4101,3.5478,3.405,4.1091
KES1,13.14295563,13.07196809,13.02390524,13.09435604,4.3763,3.0278,3.7009,3.4096,3.7251,3.3195,3.1835,3.7313,4.2915,4.275,4.3468
KGD2,14.45204038,14.36298351,14.31098949,14.39617356,4.4594,3.6083,4.4235,3.7284,4.0775,3.7274,3.6736,3.61,4.0293,3.3684,3.7823
KHA1,12.45882932,12.32174423,12.48510952,12.39908881,1.0755,0.9033,1.0482,0.8685,1.0582,1.184,1.3541,1.3195,1.0493,0.9342,1.0656
KRS1,13.73347067,14.09165297,13.86576395,13.64911748,8.6147,6.931,8.0916,6.431,7.238,5.4126,4.209,5.6571,7.8375,5.6932,8.104
KSP1,13.93459929,13.8060142,13.62837321,13.88734617,2.9376,3.1307,3.7272,4.186,5.3735,4.8991,4.3459,3.9663,3.6218,2.1918,3.0819
LAC1,13.58022796,13.71434276,13.7007685,13.69176039,6.1077,3.6719,5.3512,4.1108,3.7815,4.0673,4.1848,4.4672,4.9498,6.1271,5.8469
LAG1,13.02638729,12.98033506,13.19965959,12.74981177,2.8425,2.1423,2.384,2.2378,2.0132,1.3419,1.3951,1.4307,2.7208,2.2461,1.8086
LAT1,14.89716999,14.79678981,14.72712099,14.88422361,7.1285,9.3416,7.2228,8.6514,10.9665,8.2853,7.5774,8.2162,8.2181,6.0955,7.6506
LCB2,13.35638156,13.23997716,13.13566016,13.24597062,2.6123,2.5583,2.7223,2.4735,3.1483,2.6473,2.2316,2.1644,2.395,1.8668,2.7646
LEA1,11.55065591,11.67353155,11.84590341,11.37667759,6.7658,6.1448,6.4553,6.1683,4.6749,4.2231,5.1732,5.3803,5.6645,6.5376,6.1303
LEU1,14.34314357,14.41146796,14.33214915,14.2002884,12.1916,14.4251,11.5637,14.197,12.9604,11.3249,11.3729,16.0707,13.0902,12.4307,15.8601
LEU2,1.978080063,1.921764618,1.921764618,1.921764618,9.9383,10.6609,9.6703,9.8398,9.3002,6.6521,7.0955,10.7291,12.4773,8.9592,10.2983
LEU3,10.13415817,10.14853766,9.782637752,10.50702224,8.3377,8.2522,8.8817,8.2016,10.9277,10.5426,9.6596,11.7293,12.1979,7.1832,9.5453
LIP5,11.58595001,11.69865312,11.69631831,11.73184441,2.6415,2.3529,2.1532,2.1387,1.2122,0.9637,1.5497,2.952,2.8975,3.0106,2.9073
LOS1,10.51792732,10.62213298,10.20995976,10.49121413,2.6652,2.6133,1.9445,1.8008,1.7189,0.8543,0.9979,1.5367,1.8152,1.9655,2.3882
LSB5,13.46051887,13.44010693,13.36776789,13.56494746,2.3506,1.8757,2.7116,2.7258,2.8861,3.6328,3.7084,3.942,2.9654,3.1661,3.2138
LSB6,12.74963689,12.76039198,12.79487324,12.87450167,0.2388,0.2319,0.2134,0.259,0.3901,0.2665,0.2671,0.259,0.2557,0.1969,0.2723
LSC1,14.82688794,14.80367296,14.84509898,14.84417268,1.6772,1.9269,1.4438,1.8041,1.6513,1.4926,1.6704,2.6725,1.8639,2.4156,2.8705
LSG1,10.15775438,10.52717861,10.4636683,10.48163677,2.6869,3.5265,2.0566,2.7283,1.6401,1.2214,1.4422,2.0474,2.3715,3.025,3.0798
LSM1,12.56228376,12.48697858,12.58333085,12.54002747,5.0944,5.7011,4.563,5.9756,4.9446,3.6874,4.2151,4.8257,4.7945,5.0968,5.335
LSM2,13.88471665,13.87582129,14.08700189,13.45115981,7.1882,7.7242,6.5682,6.795,6.5562,7.199,7.2619,7.3161,7.4563,7.8957,7.3924
LSM3,12.61491033,12.63068602,12.69515817,12.55346765,3.4843,3.8319,3.0111,3.1968,2.7298,2.701,2.8133,2.6832,3.0035,3.4194,3.2988
LSM4,12.69343846,12.63024222,12.53212045,12.63326981,8.1836,8.002,8.0459,7.5212,6.8475,6.6028,7.5721,7.3384,7.3523,7.3249,8.4015
LSM5,13.74717686,13.75760712,13.88713014,13.32992156,3.0946,4.2101,2.7135,3.1394,2.6425,2.5489,2.9815,2.8958,3.0733,3.8318,2.9671
LSM6,12.58833379,12.52089168,12.77469226,12.46532539,7.5183,8.3825,5.846,6.393,5.5724,6.8422,6.232,6.5801,7.0524,7.0458,6.7389
LSM7,13.02567707,13.15499842,13.15700783,12.74035816,7.978,8.6723,6.6526,7.8579,7.1034,6.7731,7.4339,8.1145,8.4215,9.1742,8.7803
