,GSM476089,GSM476090,GSM476091,GSM476092,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
CMK2,14.5159785,14.48554551,14.5637925,14.48761412,0.8025,0.5303,0.728,0.6946,1.0491,0.7708,0.5609,0.4946,0.685,0.5901,0.635
CNS1,6.617317522,7.532185559,8.007759777,7.16492847,2.7086,2.202,2.4609,1.9896,1.3529,1.3367,1.5594,2.1646,2.3585,3.1961,3.3218
COG1,12.22150178,12.06767634,12.12241361,12.25274641,0.4079,0.423,0.3232,0.4435,0.4987,0.3699,0.3789,0.3919,0.4395,0.4046,0.4249
COG2,11.86263074,11.77420854,11.89460257,11.83409634,3.1841,3.8083,2.4773,2.8736,2.0467,2.2936,2.7481,2.8247,3.4293,3.8008,3.1817
COG3,9.890651036,9.987046062,10.05010258,9.42137958,0.6563,0.7532,0.6532,0.8161,1.1254,0.6591,0.6699,0.6559,0.8193,0.7009,0.7214
COG4,12.52066225,12.52780824,12.70040739,12.43922195,0.3694,0.3947,0.3643,0.4717,0.4543,0.304,0.3124,0.4177,0.3462,0.3157,0.3663
COG5,12.8210124,12.83317248,12.90450014,12.9032196,2.7666,2.0959,2.968,1.714,1.6674,2.1368,2.309,1.7677,2.2367,2.7787,2.2041
COG6,11.09333205,11.36192763,11.60101082,11.08120593,1.2592,1.6605,1.19,1.7607,1.415,1.1594,1.1506,1.1152,1.5021,1.2877,1.1522
COG8,11.84007884,11.95062668,11.78343557,11.82243411,3.0108,2.4626,2.9327,2.7461,1.8656,2.8475,3.2408,2.3273,2.7335,3.3536,2.6593
COQ10,12.23776843,12.11126548,12.21878664,12.35223059,0.7476,0.5021,0.7034,0.5458,0.74,1.4373,1.5131,1.4358,1.2096,1.2411,1.1824
COQ3,12.80943671,12.67941721,12.90174522,12.86290318,2.7978,2.8686,2.8415,3.1163,3.301,3.4686,3.5245,3.294,3.063,2.6256,2.8278
COQ5,14.49965018,14.37463206,14.31765749,14.38534573,7.3481,6.7212,7.5529,7.4426,6.4991,8.0907,8.6436,7.2026,7.3771,7.2384,6.5695
COQ6,12.37586762,12.3087429,12.62826629,12.16208112,2.7678,2.0297,2.6785,2.5565,3.1956,3.8851,3.4204,2.1422,3.7381,3.2029,2.6137
COQ9,13.16134188,13.12772825,13.14573701,13.23733658,4.5505,4.5436,4.2787,5.1653,5.5752,5.2524,5.2297,6.3534,5.4256,5.2537,5.3475
COX12,14.56326812,14.49016739,14.51818051,14.62065819,6.0129,4.928,4.6451,4.5602,3.685,5.3377,5.9087,4.3701,4.2382,4.6176,5.0776
COX13,14.18066577,13.97586177,13.93967208,14.05897781,7.1489,4.868,6.4382,5.1414,4.4405,6.9398,8.5562,4.6513,5.2445,5.1271,5.0765
COX17,13.21787731,13.20436656,13.18649779,12.87371658,6.5738,6.0817,6.7008,6.2559,6.6212,8.0688,8.4007,6.1793,6.5794,6.4427,6.0369
