ID1,gene1,ID2,gene2,value,gene_compare
9,ADA2,18,AIR1,0.1339,ADA2--AIR1;
9,ADA2,179,CGR1,-0.0104,ADA2--CGR1;
9,ADA2,231,DAK2,0.0324,ADA2--DAK2;
9,ADA2,317,FMT1,0.0491,ADA2--FMT1;
9,ADA2,406,HOP1,0.0662,ADA2--HOP1;
9,ADA2,407,HOS2,-0.1192,ADA2--HOS2;
9,ADA2,590,MSH3,-0.0131,ADA2--MSH3;
9,ADA2,689,PHO4,0.0278,ADA2--PHO4;
9,ADA2,712,POL4,-0.0482,ADA2--POL4;
9,ADA2,827,RPA12,0.0264,ADA2--RPA12;
9,ADA2,870,RRP12,-0.1895,ADA2--RRP12;
9,ADA2,993,SPB1,-0.4376,ADA2--SPB1;
9,ADA2,1010,SPO20,-0.0013,ADA2--SPO20;
18,AIR1,406,HOP1,-0.0065,AIR1--HOP1;
18,AIR1,993,SPB1,0.0142,AIR1--SPB1;
68,ARX1,179,CGR1,-0.1752,ARX1--CGR1;
80,ATG17,993,SPB1,-0.0944,ATG17--SPB1;
179,CGR1,195,CNS1,-0.0209,CGR1--CNS1;
179,CGR1,262,DRS1,-0.0478,CGR1--DRS1;
179,CGR1,348,GIT1,0.0154,CGR1--GIT1;
179,CGR1,589,MSH1,-0.0016,CGR1--MSH1;
179,CGR1,600,MTR4,-0.1532,CGR1--MTR4;
179,CGR1,726,PPR1,-0.1071,CGR1--PPR1;
179,CGR1,829,RPA43,-0.1099,CGR1--RPA43;
179,CGR1,870,RRP12,-0.2006,CGR1--RRP12;
179,CGR1,981,SNU66,-0.0555,CGR1--SNU66;
179,CGR1,993,SPB1,-0.2255,CGR1--SPB1;
179,CGR1,1065,SWF1,0.2873,CGR1--SWF1;
179,CGR1,1092,TEA1,0.0247,CGR1--TEA1;
179,CGR1,1200,UTP13,-0.0488,CGR1--UTP13;
179,CGR1,1245,VRP1,0.1515,CGR1--VRP1;
179,CGR1,1255,YOX1,0.2356,CGR1--YOX1;
179,CGR1,1260,ZDS1,0.0801,CGR1--ZDS1;
229,DAD2,993,SPB1,-0.0162,DAD2--SPB1;
231,DAK2,993,SPB1,0.1905,DAK2--SPB1;
237,DBP7,993,SPB1,-0.1023,DBP7--SPB1;
248,DIM1,993,SPB1,-0.0544,DIM1--SPB1;
317,FMT1,870,RRP12,0.0724,FMT1--RRP12;
317,FMT1,993,SPB1,0.1686,FMT1--SPB1;
348,GIT1,993,SPB1,0.1823,GIT1--SPB1;
407,HOS2,993,SPB1,-0.2452,HOS2--SPB1;
571,MRPL4,993,SPB1,0.1782,MRPL4--SPB1;
586,MSA1,993,SPB1,0.0389,MSA1--SPB1;
590,MSH3,993,SPB1,-0.0884,MSH3--SPB1;
600,MTR4,1255,YOX1,0.0048,MTR4--YOX1;
656,PAN1,993,SPB1,0.0752,PAN1--SPB1;
689,PHO4,993,SPB1,0.1185,PHO4--SPB1;
712,POL4,993,SPB1,-0.1282,POL4--SPB1;
726,PPR1,993,SPB1,-0.0172,PPR1--SPB1;
771,PUT4,993,SPB1,0.0083,PUT4--SPB1;
827,RPA12,993,SPB1,0.1949,RPA12--SPB1;
870,RRP12,993,SPB1,-0.3092,RRP12--SPB1;
870,RRP12,1255,YOX1,0.0692,RRP12--YOX1;
981,SNU66,993,SPB1,-0.1702,SNU66--SPB1;
993,SPB1,1010,SPO20,-0.1218,SPB1--SPO20;
993,SPB1,1092,TEA1,0.1745,SPB1--TEA1;
993,SPB1,1245,VRP1,0.2085,SPB1--VRP1;
993,SPB1,1255,YOX1,0.0575,SPB1--YOX1;
993,SPB1,1260,ZDS1,0.1883,SPB1--ZDS1;
1065,SWF1,1255,YOX1,-0.007,SWF1--YOX1;
