,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
aah2,0.895,0.9021,0.7421,0.7786,0.6484,1.0582,1.4001,1.5891,1.0796,1.0799,1.1615
aah3,2.9061,2.5241,2.3066,2.2907,2.5469,1.84,1.7164,2.2827,3.0856,2.6921,2.941
aap1,3.4733,2.7556,4.3187,3.5591,4.3964,4.8634,4.3644,3.4831,4.7992,4.2784,2.7824
aar2,3.3967,2.9878,3.3441,3.2788,3.5022,3.9523,4.4995,3.6397,3.0677,3.4559,3.1138
aat1,4.3087,3.354,3.7766,3.5048,4.3336,3.369,2.8957,3.0118,4.7204,4.6807,3.9586
abc1,1.1562,0.922,1.1641,1.0304,1.4533,1.1672,1.2097,0.981,1.0937,0.865,0.9213
abc2,0.8105,0.8173,0.7033,0.8486,1.2197,1.2081,1.1067,0.9822,1.0003,0.847,0.8544
abc3,3.3417,1.9638,3.3621,2.5405,2.5941,5.4346,5.9126,2.1008,2.0233,1.4417,1.7684
abc4,4.0472,3.6587,3.9439,3.8305,4.9184,5.5336,5.0302,3.7576,4.0965,2.9976,3.6344
abp1,0.7504,0.8949,0.8575,0.7991,1.1909,1.0177,0.9856,0.9307,0.762,0.4831,0.8036
abp2,1.6254,0.9211,0.6957,0.4775,0.3274,0.2429,0.6797,1.1796,1.7498,1.0368,1.3407
ace2,1.7791,1.1159,0.592,0.3848,0.2262,0.0524,0.1035,0.6452,1.1521,0.8753,1.6936
acp1,9.2183,8.0761,8.8476,8.4967,7.6906,8.1269,9.1287,8.5124,9.5757,9.2795,8.4964
acp2,6.4463,8.93,6.5845,9.1677,9.2723,6.6106,6.7562,7.9843,7.0096,7.491,8.1675
acr1,2.215,2.2163,1.7487,1.8578,1.6876,2.1323,2.5408,2.6806,2.4588,2.5972,2.4245
act1,20.1179,19.6664,20.1855,19.0825,21.4875,22.9739,20.117,21.1903,23.0874,22.0902,22.4498
ada1,2.8094,2.7801,3.2342,3.3789,4.7769,4.4785,3.8357,3.6946,3.0893,2.5527,3.1761
ada2,1.0386,1.006,1.3268,1.0667,0.8035,0.8347,0.9067,1.0801,0.949,0.8101,0.9846
ade1,10.6373,10.1339,9.0829,7.5007,6.1597,4.9409,4.9522,7.5047,8.3135,8.2665,11.9963
ade10,11.8282,11.1904,11.3728,8.7694,8.6435,6.653,6.1419,8.5834,10.7004,9.4547,12.0306
ade2,13.7682,11.8555,12.6042,12.1814,11.5949,13.0939,13.1675,14.8182,16.1271,16.835,15.9232
ade3,9.7333,10.5171,9.3659,9.0251,8.536,7.7754,7.4719,9.3986,9.7978,9.1944,10.8491
ade4,9.4601,9.4135,9.206,8.5924,7.9819,7.1162,6.6656,6.7746,8.6829,8.5841,11.114
ade5,5.3571,6.4993,4.5047,5.355,3.2654,2.0654,2.2986,4.2204,4.1749,5.5742,6.2561
ade6,4.921,4.2352,4.0353,3.8581,4.3438,3.1707,3.0025,4.0527,5.1352,4.9917,5.2832
ade7,5.0981,5.885,4.6439,5.5661,6.3748,6.1999,6.2058,9.8401,9.2526,8.5046,7.8857
ade8,12.1485,11.0794,10.8936,10.0536,10.0911,6.884,6.3491,8.7377,11.4866,12.9548,15.3391
ade9,3.5753,3.6677,2.8046,2.297,1.8924,0.8779,0.963,1.9123,2.2722,2.9667,4.6333
adf1,25.4587,23.2961,23.7998,23.301,22.9716,26.327,27.1049,24.0154,25.5356,25.4211,23.045
adg1,5.8543,10.2269,5.6006,8.581,5.5681,0.4466,0.2834,1.1075,2.4831,3.8132,5.7455
adg2,3.312,3.8687,2.9642,3.6049,2.0827,0.4018,0.3006,0.8444,1.7419,1.6354,2.7412
adg3,1.3864,1.182,1.2275,1.1073,1.1829,0.6149,0.4722,0.3426,0.5746,0.725,0.8779
adh1,23.9262,24.2923,23.0276,19.7792,16.9794,21.2828,17.7566,21.9398,25.0355,25.4831,26.9664
adh4,2.7675,2.6887,2.6035,3.3905,3.5338,1.9654,2.2006,4.5239,4.1439,4.6975,5.4116
adk1,13.3976,14.8826,12.8727,14.4357,13.968,10.7115,10.3682,12.7646,11.7343,14.5783,15.2374
adl1,0.2521,0.2557,0.2618,0.2804,0.4057,0.2806,0.3121,0.2968,0.3154,0.2561,0.2338
adn1,1.1502,0.8035,0.8856,0.7267,0.8035,0.6506,0.7686,0.9863,0.9331,0.9523,1.3477
adn2,1.1291,1.089,1.0096,1.1124,1.5154,0.8998,0.9546,1.0179,0.9307,0.6976,1.0992
adn3,0.874,0.7978,0.6588,0.746,0.7485,0.5629,0.6705,0.8107,0.6438,0.6613,0.9866
aes1,2.9594,2.383,3.6753,5.1499,8.0809,15.5868,18.346,15.9469,14.957,7.4578,4.573
agl1,0.4509,0.4357,0.5651,0.4963,0.4832,0.4221,0.4915,0.4982,0.3402,0.4078,0.5461
agn2,1.0477,1.0166,0.9334,1.0419,1.093,0.8026,0.7902,1.0676,1.0519,1.093,1.7704
ago1,0.6234,0.6084,0.6645,0.7293,0.8667,0.7652,0.7926,0.7259,0.5541,0.5275,0.813
ags1,4.6891,3.8697,4.3318,4.0453,4.2569,2.7948,2.4273,4.2094,4.7053,3.9794,6.0115
aif1,0.8696,1.2188,2.0751,1.9169,2.6235,2.0335,1.6144,1.3994,1.4887,0.6682,0.7994
aim22,0.4176,0.2593,0.3103,0.2765,0.5729,0.411,0.324,0.2563,0.5542,0.4269,0.3445
aim27,2.913,4.012,2.9013,3.7606,3.233,3.3194,3.6066,4.0983,3.224,3.4942,3.6468
ain1,2.1355,1.9048,2.1615,1.7208,1.8891,1.5004,1.4322,1.6512,2.1006,1.8796,2.2692
air1,4.0307,3.9102,3.1106,3.303,2.4466,1.4789,1.7897,2.3129,2.9606,3.4621,3.7593
akr1,0.424,0.591,0.4516,0.5559,0.6324,0.4729,0.4695,0.4865,0.496,0.4908,0.405
ala1,7.2504,8.0792,6.7616,8.0278,8.8969,6.0173,5.2709,6.7295,8.0697,7.0197,8.1041
alg1,1.4753,0.9396,1.5131,1.0261,1.4014,1.7314,1.7388,1.2117,1.5851,1.527,1.2563
alg10,1.6386,1.3225,1.6669,1.4844,1.6649,1.3369,1.3232,1.1742,1.5819,1.758,1.5721
alg11,1.1687,1.0604,1.1988,1.1943,1.8944,1.7657,1.2012,1.0069,1.2252,0.9513,1.0065
alg12,2.7859,2.05,2.8902,2.3443,3.1202,3.245,3.1605,1.9435,2.174,2.3599,2.1953
alg13,1.8311,1.9224,1.9214,1.9922,1.894,2.0714,2.4173,2.0067,1.6802,1.8619,1.8389
alg14,1.6325,1.2527,1.5419,1.3579,1.1218,1.2084,1.4248,1.4052,1.5116,1.7451,1.6702
alg2,3.0438,2.0124,3.0688,2.14,2.7705,2.7464,2.7471,1.8781,3.0027,2.5042,2.2314
alg3,2.778,1.866,2.2167,1.6236,2.4235,2.1579,2.0301,2.0569,2.9898,3.2338,3.0033
alg5,1.7214,1.3348,1.6207,1.2678,1.7296,1.4857,1.2958,1.2672,1.4319,1.8495,1.9574
alg6,1.7252,1.0216,1.6308,1.0777,1.4507,1.2622,1.1619,1.0429,1.6402,1.1717,1.0419
alg8,2.7297,1.3387,2.8315,2.1193,2.9692,3.3725,3.1646,1.7841,2.886,1.9547,1.8094
alg9,2.4886,2.5058,2.606,2.3195,3.4598,3.1255,2.6622,2.2321,2.9017,2.6718,2.4451
alm1,2.8297,2.2562,2.4654,2.1654,2.5611,2.5618,2.7745,2.0911,2.5906,2.0942,2.3332
alo1,3.9516,3.382,4.1566,3.5708,4.6118,5.2715,5.5032,3.942,3.9817,3.2261,3.3498
alp1,1.4353,1.3179,1.3599,1.3326,1.49,1.3801,1.3339,1.3837,1.5059,1.9034,1.6225
alp11,4.9731,4.5439,5.5678,5.411,5.7245,6.6158,7.5214,5.2371,5.0467,4.5479,4.1362
alp13,2.0288,2.2614,1.851,2.3981,1.6146,2.0211,2.0643,2.4205,1.9654,2.2723,2.8454
alp14,1.0036,1.1457,0.9549,1.0617,1.0386,0.6718,0.6829,0.6504,0.8391,0.7589,0.8905
alp16,0.7002,0.9305,0.678,0.8496,1.2072,1.0688,1.0178,0.823,0.8683,0.9194,0.7645
alp21,1.2807,1.0989,1.4242,1.2594,1.2444,1.1431,1.2164,1.2039,1.4916,1.552,1.544
alp31,2.3522,2.7789,2.2832,3.1327,2.2386,1.951,2.2769,2.0282,2.278,2.6541,2.8716
alp4,0.295,0.2867,0.2764,0.3318,0.3342,0.3327,0.3234,0.3065,0.2994,0.2493,0.3024
alp41,0.0607,0.0759,0.0519,0.0386,0.045,0.0487,0.0688,0.0772,0.0812,0.0614,0.0624
alp5,2.6739,1.345,2.4623,1.5006,2.2418,2.648,2.1061,1.4601,2.6361,1.8061,1.7246
alp6,0.8788,0.9379,0.7222,0.8092,0.895,0.8775,1.0142,0.9794,1.0832,0.9728,1.0399
alp7,0.2872,0.2029,0.1967,0.2071,0.3269,0.2299,0.2781,0.2593,0.255,0.1984,0.3001
alr1,0.3973,0.3549,0.3869,0.3088,0.3739,0.3703,0.4434,0.3482,0.3641,0.3589,0.4527
alr2,0.3784,0.2046,0.6432,0.2875,0.4511,2.412,3.6398,1.0962,0.7511,0.4232,0.2925
amk2,6.7709,7.3228,7.4415,9.3987,10.0487,10.4724,10.2823,10.1427,8.7537,8.3635,8.2747
amo1,1.9937,1.4583,1.6153,1.3574,1.6899,1.0942,1.1338,0.9904,1.4443,1.6998,1.7052
ams1,1.5502,1.8145,1.7636,2,3.6071,3.5908,3.5624,3.2466,2.36,1.335,2.0461
ams2,0.7041,0.7691,0.5549,0.6793,1.2198,0.9527,0.9633,1.2074,1.277,0.9839,1.2794
amt1,0.675,0.9689,0.51,0.8584,1.6995,0.4757,0.5425,1.4109,0.9774,0.6972,1.2811
amt2,4.643,4.7296,4.6951,4.6013,4.9936,4.1521,4.5408,4.225,4.628,3.8732,4.1816
amt3,0.1615,0.1451,0.1262,0.1223,0.1671,0.0999,0.1117,0.1244,0.1251,0.1022,0.1433
anc1,12.582,10.2575,12.9876,10.7771,15.1426,14.7544,12.8254,10.2574,10.0063,7.7708,10.7181
anp1,1.7426,1.5649,1.647,1.5263,1.6308,1.5821,1.5862,1.6458,1.6803,1.336,1.6039
apc10,0.5988,0.5827,0.6183,0.6374,0.3318,0.4551,0.5318,0.5598,0.5533,0.544,0.5432
apc11,2.1297,1.5516,2.0062,1.4681,1.0897,1.3348,2.015,2.0902,2.1985,1.9577,1.9066
apc13,0.051,0.0528,0.0343,0.043,0.0639,0.0339,0.0432,0.0454,0.0776,0.031,0.0173
apc14,1.2597,1.4242,1.0137,1.2642,0.8801,0.6543,0.6116,0.748,0.8277,1.2996,1.3439
apc15,0.1676,0.1439,0.1344,0.1165,0.114,0.0755,0.1274,0.1283,0.1446,0.1498,0.1343
apc2,0.235,0.1994,0.2286,0.2438,0.2589,0.202,0.2396,0.2082,0.2512,0.198,0.2667
apc5,0.6357,0.5361,0.6735,0.6348,0.695,0.6566,0.6403,0.5462,0.6209,0.595,0.6593
ape2,5.5931,6.3786,6.4881,7.4648,10.3705,8.9096,8.416,7.3328,6.8667,4.8409,5.7405
aph1,2.5294,3.1113,2.2704,2.9975,2.5019,1.8379,2.1621,2.8876,2.3778,3.0567,2.9923
apl1,0.5267,0.5463,0.4837,0.5059,0.5623,0.5074,0.4275,0.323,0.5382,0.4551,0.5191
apl2,1.8532,2.1368,1.7489,2.2975,2.6294,1.7249,1.354,1.3691,1.9352,1.5048,1.6952
apl3,0.7762,0.8504,0.664,0.7499,0.7629,0.8295,0.8036,0.6988,0.8155,0.8068,0.8158
apl4,1.9126,1.6955,2.0319,1.925,2.5102,1.979,2.0474,2.2242,2.0063,1.6208,2.2995
apl5,1.4035,1.3887,0.9972,1.1584,1.4464,1.1915,1.3506,1.5567,1.5795,1.4027,1.4468
apl6,1.3829,1.6732,1.3439,1.7085,1.8414,1.614,1.3559,1.1205,1.4656,1.4927,1.331
apm1,4.7326,2.8838,4.7309,3.1851,4.7106,5.6008,5.0102,3.7412,4.5306,4.5257,4.6959
apm3,1.9237,1.6881,1.9142,1.6549,2.0755,1.9345,1.8275,1.6955,2.1372,2.368,2.0978
apm4,0.6346,0.4161,0.7447,0.5919,0.7174,0.9165,0.9047,0.7949,0.7608,0.8264,0.6512
apn1,0.2837,0.2507,0.1561,0.1315,0.2929,0.1851,0.2354,0.1902,0.2463,0.162,0.1834
apn2,0.5837,0.497,0.4384,0.3978,0.3524,0.3404,0.4558,0.4097,0.4991,0.3894,0.4157
apq12,7.263,7.6452,7.6612,7.7494,5.3371,8.6602,8.7056,7.0666,6.7811,9.1428,6.3914
aps1,1.745,1.9088,1.2874,1.945,2.0652,1.2825,1.4028,2.7572,1.762,1.9519,2.7415
aps2,5.0164,5.8755,4.4431,4.9229,4.3339,5.0829,5.444,5.3488,4.8568,5.1252,4.7723
aps3,1.6866,2.3962,1.3456,1.9859,1.8974,1.5189,1.5955,2.5386,1.6742,1.9969,2.5341
apt1,17.3125,16.8338,15.1059,15.6148,9.1469,4.3744,4.5656,10.0458,10.2994,15.4308,18.1639
arb1,2.0077,2.0605,1.9548,2.2887,1.9907,3.0269,3.5251,2.8462,2.8233,2.4652,2.5747
arb2,0.4215,0.6152,0.517,0.7016,0.374,0.3235,0.4462,0.5077,0.4201,0.4262,0.5027
arc1,8.4814,10.0722,8.3382,10.8018,10.1084,10.6848,11.0442,12.4779,9.4309,7.5696,9.8583
arc2,8.5214,10.749,8.6883,11.2774,12.4431,10.5446,11.0059,12.7132,9.317,7.5016,10.3192
arc3,10.6955,10.9459,10.3058,11.8051,11.8332,12.3146,14.5681,14.0193,13.1909,12.3577,11.8551
arc4,11.2592,10.3325,11.0302,9.9754,10.1347,12.4765,14.2651,11.1502,11.7306,10.9119,9.8302
arc5,12.5944,11.666,13.5852,12.582,13.2496,14.8005,15.6294,14.369,14.6358,13.8499,13.1386
are1,1.2642,1.0148,2.8095,2.1196,3.1369,2.3595,1.6002,0.7085,0.9766,0.7956,0.773
are2,0.638,0.6133,0.8761,0.8348,1.7235,1.4934,1.0132,0.8,0.7574,0.5129,0.5591
arf1,17.6004,15.4439,15.8251,15.3337,14.8818,16.4092,15.6271,16.089,17.7552,18.6403,18.7147
arf6,1.4544,1.5834,0.815,1.2691,1.1528,0.8574,0.9078,1.2593,1.1129,1.5434,1.7555
arg1,8.2939,6.7842,7.5157,8.0217,9.3467,10.8838,9.4863,8.1912,11.0052,8.6908,8.1907
arg11,9.6225,10.6452,8.8304,11.0231,11.5318,9.4153,8.8986,10.6902,9.3212,10.3393,11.7272
arg12,9.7496,9.3283,10.4665,12.4598,17.646,17.4171,16.251,22.208,19.0262,16.8859,15.9255
arg3,1.9745,1.3131,1.7036,1.3487,2.3356,2.1468,1.9486,1.8648,2.8835,2.8863,2.1529
arg4,6.6815,6.8849,6.7648,7.9189,10.954,9.4661,8.9701,10.6055,11.1252,6.219,8.1675
arg5,6.6984,5.044,6.5549,5.8476,9.656,8.4114,7.3826,8.1457,10.6104,6.5537,6.7619
arg6,2.3976,1.7897,2.5711,2.3677,3.5458,3.2745,3.2007,2.0828,2.4498,1.8824,2.0273
arg7,1.0852,1.1506,0.8266,1.004,0.9684,0.8307,0.8335,1.1879,1.1123,1.1535,1.4741
arh1,2.5929,2.0106,2.2629,1.6394,2.1364,1.7348,1.7008,1.3808,1.996,2.0155,2.3281
ark1,0.6111,0.3272,0.2811,0.2597,0.3176,0.2349,0.3194,0.6241,0.5629,0.6558,0.8948
aro1,5.7834,6.6308,5.3311,6.2322,8.0708,7.0012,6.5561,7.8661,7.6936,6.2502,7.2389
arp1,0.0891,0.1168,0.0679,0.0831,0.0744,0.0749,0.1036,0.1135,0.1072,0.1049,0.0983
arp2,5.129,3.8587,5.2679,4.9115,6.6697,8.1428,7.3055,5.9781,5.8546,4.8222,4.9967
arp3,6.9689,5.9681,6.9719,6.9262,9.4993,9.2309,8.7719,7.8501,7.2889,6.6482,7.5486
arp42,1.7699,1.3523,1.5919,1.4246,1.7087,1.8835,1.8136,2.0451,1.8735,1.6921,2.0257
arp5,1.8875,1.6583,1.7953,1.6753,2.0954,1.6161,1.6976,1.6164,2.046,1.6338,1.898
arp6,1.0017,1.0237,1.0287,0.9937,0.7497,0.5266,0.6508,0.9169,0.746,0.8228,1.2318
arp8,1.4031,1.2933,1.4557,1.5245,1.8008,1.2159,1.0815,1.3999,1.5904,1.3216,1.5052
arp9,2.2344,1.545,2.1827,1.5416,1.8773,1.7368,1.7417,1.5673,2.0062,1.8384,2.1172
art1,0.3806,0.4164,0.4304,0.5695,0.7757,0.4671,0.4486,0.4011,0.385,0.3025,0.4934
aru1,15.8462,17.6226,13.4344,14.9215,9.5747,5.5951,7.3054,15.618,15.1237,15.6473,18.9058
arv1,0.8689,0.7352,0.7062,0.6235,0.3419,0.2926,0.4668,0.5667,0.5576,0.8036,0.8244
arx1,6.1996,7.3911,4.5194,5.504,3.1457,2.3308,2.6268,5.317,4.696,7.2432,8.1951
arz1,0.9649,0.964,1.6562,1.6874,2.9673,3.3307,2.5184,1.0654,1.0832,0.869,0.8742
asa1,2.1031,2.621,2.0658,2.4532,1.6649,1.6126,1.9053,2.6361,2.2287,2.8436,3.5305
ase1,1.1946,1.2157,1.1203,1.3321,1.5802,0.8425,0.8313,0.9603,1.0077,0.9168,1.1233
ash2,3.6684,3.8438,3.1021,3.2881,3.462,2.4788,2.4399,2.9888,3.1998,3.0567,3.691
ask1,0.9591,0.9249,0.9923,1.0961,0.9069,1.0277,0.9784,1.1979,0.9461,1.0153,1.1072
asl1,7.9192,10.2076,6.0658,6.49,3.9633,3.9244,3.3861,6.7163,6.5966,7.6455,7.161
asn1,9.0264,10.2587,9.9132,10.7,14.9598,12.5409,10.0819,11.5936,13.0073,8.6173,8.8536
asp1,0.4674,0.5663,0.3172,0.4884,0.6664,0.5114,0.5192,0.8532,0.8764,0.5661,0.5794
ast1,0.9678,0.8578,0.7328,0.6839,0.5781,0.3575,0.4459,0.5778,0.842,1.0125,0.9672
atb2,4.3134,3.1076,3.7755,3.0057,3.3543,2.666,2.2074,2.4471,4.7639,3.6347,3.3913
atf1,1.9664,2.4468,4.344,3.9388,4.7504,4.009,3.2333,1.7762,1.3563,1.1758,1.7436
atf21,0.0334,0.0529,0.0553,0.059,0.0672,0.0274,0.0436,0.03,0.0253,0.0266,0.0179
atf31,0.0931,0.1296,0.0699,0.1229,0.2123,0.1027,0.1121,0.0552,0.0796,0.0703,0.061
atg1,0.8572,0.9685,0.9626,1.3078,1.6744,1.749,1.7332,1.2648,0.9432,0.8053,0.8902
atg12,1.2542,1.3381,1.0195,1.1615,0.7312,1.354,1.6335,1.3008,1.0833,1.2095,1.0733
atg13,0.7072,0.7034,1.0437,1.0488,1.6299,1.5958,1.4104,1.0806,0.8671,0.5772,0.7649
atg14,0.6709,0.4913,0.5059,0.5131,0.7614,0.5771,0.5795,0.5007,0.6115,0.6846,0.6518
atg15,2.0329,1.3527,2.3346,1.7933,1.9808,3.4125,3.6598,2.6568,2.8383,2.3965,2.11
atg17,1.8755,1.5627,1.7039,1.8579,2.3544,4.4095,4.151,3.3797,2.684,2.2113,2.0651
atg18,0.5322,0.4946,0.9177,0.6348,0.8105,1.0623,1.0533,0.8681,0.7484,0.6575,0.6872
atg2,0.2165,0.2604,0.2405,0.3282,0.4069,0.401,0.3588,0.3647,0.3153,0.2304,0.2443
atg20,0.1827,0.1652,0.2664,0.2284,0.3723,0.3809,0.3227,0.1802,0.1905,0.1361,0.1409
atg22,0.6328,0.6171,1.1242,0.7857,1.1114,1.2112,1.2242,0.4903,0.8191,0.5545,0.4969
atg3,0.5823,0.7358,0.8315,1.1177,0.7989,1.32,1.5194,0.9306,0.5867,0.6938,0.5752
atg4,0.2265,0.2093,0.3863,0.2937,0.5909,0.6029,0.4504,0.2089,0.2258,0.1821,0.1475
atg5,2.6499,2.9219,2.9255,3.3722,3.6141,4.1384,4.1571,4.0746,3.0833,2.9962,3.0227
atg6,0.6043,0.4938,1.0011,0.8051,1.164,1.5895,1.6736,0.6734,0.765,0.6835,0.4462
atg7,0.7354,0.7462,0.8257,0.9025,1.1805,0.9192,0.9784,0.8955,0.7384,0.5208,0.7782
atg8,1.4162,2.1508,1.9798,2.6676,2.7885,3.2175,3.2066,2.0115,1.4799,1.2887,1.2719
atg9,0.7962,0.6416,0.8706,0.7629,1.2308,1.6124,1.4912,0.8849,0.9386,0.6699,0.6497
atl1,1.3924,1.3178,1.3026,1.0362,0.5705,0.577,0.7647,0.741,0.9163,1.2914,1.1445
atm1,0.9227,1.0892,1.0483,1.3047,1.9343,2.2581,2.0602,1.4896,1.3928,1.0136,1.0841
atp1,9.4591,7.2857,9.5756,9.3993,9.6281,10.454,10.3689,7.5538,8.1701,5.6629,6.7586
atp10,1.3934,1.1564,1.565,1.2933,1.1838,1.0585,1.0595,0.8014,1.4092,1.2808,1.1169
atp11,3.9128,3.6743,3.5417,3.9062,2.8061,2.3641,2.8425,3.6121,3.4944,3.6276,3.7385
atp12,1.4561,1.5294,1.5867,1.8333,1.8657,1.5261,1.4595,1.6666,1.5176,1.6729,1.9124
atp14,10.2387,8.3555,10.81,7.5431,7.3157,9.8095,12.4116,8.851,8.5044,7.1644,8.4252
atp15,13.9241,10.5155,13.0699,10.0595,9.8978,14.9292,15.8711,10.3371,12.1143,11.0772,10.0917
atp16,12.374,7.7811,12.2625,7.7734,6.6683,10.184,13.3599,9.1594,10.5125,9.286,9.1654
atp17,10.2054,8.9525,10.0379,9.5392,8.6955,10.995,11.405,10.0008,9.5034,9.5738,9.7513
atp18,7.5556,7.214,6.734,5.9041,4.96,7.8692,8.0462,5.6587,5.949,6.7629,5.5241
atp2,17.3145,11.3703,16.08,11.6321,14.233,16.5694,15.963,12.2807,14.8049,12.862,13.4576
atp20,10.5775,9.057,9.5549,8.0505,6.4069,7.8971,9.5352,5.9698,6.3295,8.2027,7.5988
atp23,2.2773,2.7758,1.8673,2.5262,1.5581,0.9699,1.2113,2.0978,1.7734,2.3837,2.9866
atp25,2.8388,2.1771,3.0112,2.3863,2.6139,2.5984,2.1127,1.4112,2.356,2.0305,1.8039
atp3,8.5009,7.4406,8.8324,8.1209,7.3214,8.7085,9.3937,8.3217,7.8743,7.8297,9.3229
atp4,12.2994,11.5182,12.9988,12.5215,10.7422,13.701,15.0559,12.8933,10.5748,12.1717,12.3992
atp5,9.2351,9.5907,9.5852,9.7432,7.5229,12.7832,15.009,9.3938,9.0105,8.9322,7.7372
atp7,9.8605,7.1429,9.855,7.478,7.441,11.397,13.3894,8.5854,8.3523,8.4472,8.5746
ats1,7.9314,7.2498,7.8514,7.2785,6.5335,8.3908,10.706,10.1948,11.193,8.8612,7.032
atx1,7.4714,7.1024,7.455,6.9179,7.0637,7.3053,8.1057,7.0821,6.2728,7.0725,7.4184
aur1,1.4591,1.1121,1.1905,1.1104,1.0649,1.0428,0.9083,1.5249,1.3401,1.2117,1.6042
aut12,0.9971,1.1741,1.1305,1.3357,1.2449,1.5276,1.4217,1.2157,1.0587,1.1175,1.1096
avt3,2.4728,2.2932,2.8884,2.8398,3.5737,3.4919,2.959,2.8542,3.4285,3.0391,2.7517
avt5,0.1407,0.1879,0.1235,0.1438,0.343,0.1809,0.1355,0.1381,0.1809,0.1766,0.1335
ayr1,1.1941,1.6979,2.3335,2.495,3.1414,3.7557,3.8402,2.7479,1.4659,0.9726,1.2775
azr1,0.8098,0.7293,0.5967,0.4577,0.5042,0.2424,0.3517,0.606,0.8579,0.7623,1.0184
B22918-2,4.4992,4.7345,4.5406,5.3652,5.552,5.5324,5.2568,6.1694,4.7466,5.7239,6.2064
bag101,1.6359,2.3318,1.7946,2.4163,2.0633,2.5454,2.3105,1.9082,1.8932,1.6785,1.5906
bag102,4.6284,3.8693,3.7975,4.3103,3.6453,3.4646,3.779,5.0304,4.2755,4.9593,5.4772
bdc1,3.1143,3.7102,2.8931,3.3018,2.2744,1.9997,2.1312,3.0868,2.6628,3.3198,3.3737
bdf1,1.6351,0.8979,1.457,1.1098,1.4508,1.2779,1.0941,0.9606,1.2822,1.1675,1.4786
bdp1,0.5339,0.3861,0.3546,0.2601,0.2564,0.2809,0.4264,0.2494,0.4773,0.4506,0.3342
bem46,4.5495,3.1168,3.9681,3.2422,3.6106,2.907,3.0163,3.8495,4.7901,5.1865,5.3463
bet1,1.5505,2.1199,1.3393,2.2536,1.0711,0.3521,0.5516,1.2931,1.256,1.3484,1.8224
bet3,3.7798,3.8214,3.6637,3.5942,3.2559,3.9227,3.8182,4.1873,3.0547,3.6553,4.2335
bet5,0.9056,0.731,0.7999,0.5845,0.833,0.9905,1.0445,0.581,0.7438,0.7871,0.7769
bfr1,4.4721,8.702,7.6224,10.3376,12.1661,11.9409,9.6707,7.6458,4.2601,4.4677,7.3773
bgl2,2.8912,2.7592,2.196,2.1441,3.3404,2.4491,2.3252,2.6985,3.5385,3.932,3.3868
bgs1,3.7819,3.9267,3.104,3.5901,3.9507,2.7277,2.4368,2.9948,3.1991,3.4601,3.9769
bgs2,0.7128,0.8046,0.5505,0.655,0.8348,0.8335,0.8387,0.9513,0.7793,0.6012,0.8219
bgs3,3.7195,3.675,3.1302,3.4679,3.5425,2.0462,1.7081,2.3669,2.7987,3.0794,3.7034
bgs4,5.1938,4.8826,4.8035,5.1965,4.5521,3.5662,2.7312,3.8353,4.9811,4.7091,5.9086
bhd1,1.4643,1.6029,1.3849,1.4004,1.587,1.2956,1.3094,1.3718,1.4042,1.2517,1.5304
bio2,3.5535,2.2427,3.4631,2.4261,3.2886,2.0067,2.5346,3.8261,5.9142,2.6915,2.4524
bip1,10.7854,10.6435,11.0532,10.512,9.8348,8.6279,7.5452,9.386,10.5494,8.9583,10.3172
bir1,0.8694,0.8541,0.6618,0.7363,0.814,0.6772,0.748,0.8939,0.9031,0.7797,1.0554
bis1,0.7556,0.9534,0.849,0.8713,0.7303,0.9056,1.0441,1.1966,0.9643,0.7664,0.9315
bit61,3.9182,2.6207,3.788,2.4306,3.6077,2.5556,2.4794,2.1542,3.7839,4.1657,3.4496
blt1,1.5287,1.3958,1.1082,1.1641,1.0666,0.9206,1.1005,1.322,1.2043,1.193,1.7566
bms1,2.6173,2.6494,1.7584,1.8471,1.414,0.9618,1.251,1.831,1.9699,2.1211,3.0578
bob1,8.9765,8.1288,8.414,7.3616,4.9095,5.7247,6.9238,7.1017,7.9808,8.2418,6.9204
bos1,2.0845,2.5881,2.5559,2.8688,2.1091,2.5174,2.44,2.1761,1.4548,1.6354,2.042
bot1,2.6467,2.1565,2.3217,2.1964,1.7816,1.9666,2.4573,2.2997,2.2996,2.3132,2.0465
bpb1,1.1969,1.3243,1.0588,1.1796,1.6023,0.8347,0.8952,1.0702,0.9387,0.7309,1.4609
bqt1,0.251,0.3723,0.2013,0.295,0.2414,0.1698,0.2531,0.2001,0.2532,0.3317,0.2036
bqt2,0.0539,0.0599,0.046,0.0487,0.0551,0.047,0.0588,0.0417,0.0591,0.0543,0.0427
bqt3,2.7358,1.1232,3.2731,1.4081,2.8264,3.7351,3.5018,1.7598,1.8978,2.1179,2.3021
bqt4,2.0979,2.1107,2.8804,2.9927,3.7309,4.4838,4.5362,3.1631,2.4013,1.6696,2.2138
brc1,0.5049,0.5792,0.3788,0.4674,0.5913,0.4729,0.4706,0.5483,0.5981,0.4665,0.5121
brf1,0.5508,0.3489,0.2879,0.2431,0.3978,0.431,0.4576,0.2749,0.5645,0.5631,0.3563
brl1,1.5967,1.2753,1.4515,1.3578,1.4919,1.4303,1.413,0.9734,1.4504,1.3651,1.1606
brl2,2.5611,2.3679,2.4162,2.153,2.2082,2.0653,1.879,1.5985,2.1755,2.1747,1.9924
