,GSM1519986,GSM1519987,GSM1519988,GSM1519989,GSM1519990,GSM1519991,GSM1519992,GSM1519993,GSM1519994,GSM1519995,GSM1519996
spe1,3.9854,3.5517,4.1776,3.6813,4.3365,4.7895,4.3378,3.1622,4.4431,3.5119,2.9276
spe2,4.613,3.3004,4.4974,4.0177,4.5342,5.2918,4.5112,3.9854,3.8579,4.6928,4.9933
spf1,0.143,0.1201,0.1145,0.127,0.1344,0.1156,0.1493,0.1306,0.1305,0.0906,0.0982
spf30,1.0273,1.0309,0.8834,1.1591,1.168,0.7631,0.7569,1.3519,0.9955,1.1592,1.4333
spf31,2.2053,2.3151,2.7291,2.6378,2.111,1.8484,2.1958,1.5679,1.752,1.5787,1.6965
spf38,2.7259,2.9689,2.5636,3.1433,2.6125,2.2399,2.7407,3.2166,2.9477,2.904,3.0936
spg1,2.8655,2.8398,3.614,3.6073,3.6728,3.9328,4.2413,3.0123,2.4417,2.3121,2.9627
spi1,25.8457,26.8563,24.1936,26.7915,26.6807,21.2989,21.6549,25.5223,25.4619,26.6064,27.0925
spk1,0.3318,0.2568,0.2727,0.1793,0.1096,0.1664,0.355,0.3333,0.5304,0.3383,0.3343
spn1,1.0449,0.8658,1.023,0.8947,1.2423,1.2555,1.0316,0.76,1.1871,0.7871,0.6397
spn2,4.472,5.5551,4.2437,5.5903,5.3836,4.4881,4.905,7.5436,5.7272,5.5874,7.0967
spn3,3.4189,3.0952,3.6949,3.9852,3.6639,3.877,3.8238,4.6404,3.7641,3.9854,4.6102
spn4,2.2853,1.895,2.2637,2.3685,1.7279,1.7942,1.9329,2.0689,2.0438,2.1337,2.2374
spn5,0.0541,0.1238,0.036,0.0773,0.0788,0.0376,0.0618,0.0818,0.0675,0.0993,0.077
spn6,0.0434,0.0897,0.0357,0.0877,0.139,0.0385,0.0328,0.0591,0.0564,0.0525,0.0594
spn7,0.7861,0.6474,0.6954,0.6539,0.6821,0.5604,0.7911,0.8414,0.8738,0.8953,1.1333
spo12,2.098,1.8005,1.0392,0.7853,0.2984,0.3502,0.5715,1.1291,1.708,1.506,2.0975
spo14,4.9321,3.1151,5.1414,3.9161,6.1794,6.1702,5.7169,3.8457,6.2368,5.394,3.7855
spo15,2.824,2.3176,2.4302,2.2487,2.2478,2.0079,1.8819,2.2787,2.7012,2.3756,2.9663
spo20,8.9188,8.573,9.8123,10.6452,9.3979,10.3159,9.2086,9.6928,8.1302,9.432,11.2126
spo3,0.9854,0.7965,1.1794,0.8018,1.0039,1.1633,1.066,0.8234,0.8012,0.9033,0.9192
spo4,0.0245,0.0332,0.0263,0.0238,0.0338,0.0236,0.0372,0.0215,0.03,0.0401,0.0116
spo5,0.1474,0.1422,0.0944,0.1798,0.1497,0.1365,0.217,0.1897,0.1419,0.1533,0.1731
spo6,0.1354,0.2319,0.1063,0.1784,0.1518,0.0818,0.0798,0.1196,0.1986,0.214,0.2191
spo7,0.4204,0.3986,0.3519,0.3567,0.4054,0.4079,0.4838,0.487,0.4256,0.3875,0.4671
spo9,1.125,0.9107,0.9557,0.8206,0.7554,0.8254,0.8631,0.6892,0.8696,1.2774,1.041
spp1,1.6101,0.951,1.2542,1.051,1.2177,1.1045,1.2085,1.5225,1.5356,1.7732,2.1437
spp2,2.0766,1.3071,1.6448,1.3633,1.6102,1.4209,1.4811,1.8342,2.0276,2.2548,2.309
spp27,2.9759,1.663,2.4801,1.4441,2.4124,2.3815,1.6952,1.3929,1.7619,1.9326,2.2707
spp42,2.4998,2.7497,2.3549,2.8164,3.7289,3.7039,3.4676,3.1584,2.6153,2.2125,2.694
spt16,1.5401,1.6511,1.4163,1.6206,1.8085,1.6401,1.6426,1.5716,1.7068,1.1571,1.6033
spt2,1.0252,0.9387,1.112,1.0381,1.0753,1.2552,1.4097,1.2167,1.013,0.7892,0.9402
spt20,0.9382,0.5775,0.8468,0.6919,0.9371,0.8343,0.8792,0.6742,0.7669,0.674,0.7282
spt3,0.0971,0.1007,0.0979,0.0966,0.1849,0.1336,0.1431,0.101,0.1165,0.0946,0.0904
spt4,1.3151,1.6705,1.1754,1.4791,1.3228,1.2545,1.4685,2.0402,2.0311,2.0052,1.5172
spt5,3.665,3.5818,3.4695,3.2622,3.7354,2.8806,2.7546,3.1082,3.5908,2.7555,3.5685
spt6,3.7789,3.384,3.3933,3.0665,4.0147,3.2345,3.6253,3.2689,3.3593,2.5729,3.4509
spt7,0.6264,0.5615,0.5548,0.4603,0.575,0.5358,0.5835,0.4871,0.5765,0.4843,0.5831
spt8,0.57,0.5229,0.5321,0.5526,0.6662,0.5985,0.5267,0.5251,0.5221,0.4246,0.6241
srb10,0.1114,0.122,0.1082,0.0927,0.1518,0.1038,0.121,0.0831,0.1001,0.0722,0.0926
srb11,2.7521,2.5181,2.4537,2.4517,1.8369,1.5872,2.0736,2.7336,3.0993,3.0294,2.8844
srb4,0.2444,0.1608,0.2323,0.223,0.2177,0.1904,0.2154,0.1218,0.2288,0.2121,0.1701
srb6,1.1425,1.1784,0.9299,0.9077,0.7397,0.7795,1.0862,1.2915,1.3249,1.3846,1.3736
srb7,6.3773,5.385,5.9495,5.2927,5.0613,5.4274,5.9668,4.4614,4.9256,6.1143,5.7929
srb8,0.7672,0.7041,0.6917,0.7677,1.02,0.8605,0.9789,0.6955,0.7801,0.6704,0.611
sre1,1.5998,1.6874,1.9072,2.6154,4.2917,3.2894,2.8633,2.5565,2.2905,1.7176,2.1656
sre2,0.8807,0.804,0.8532,0.7705,1.047,1.1474,0.8364,0.8866,0.8262,0.6718,0.8406
srk1,0.3391,0.9456,1.9854,1.6985,3.067,3.901,2.6142,0.8906,0.4524,0.2604,0.2347
sro1,7.6177,7.6169,7.4852,5.2556,6.7086,16.0211,17.4889,9.2214,8.9616,8.4577,5.559
