,GSM12087,GSM12094,GSM12183,GSM12184,GSM12185,GSM12186,GSM12187,GSM12188,GSM12189,GSM12190
ATXN2,4.5065966,4.5065966,2.6902173,4.8851995,3.4801843,3.378403,3.4156415,3.6349812,4.399142,2.7760127
ATXN2L,4.91996485,4.91996485,4.51630425,4.2851045,4.0870969,4.3339382,4.150703,4.5636885,4.2313305,3.66957905
ATXN3,0.423336271,0.423336271,0.343599033,0.395003161666667,0.503533045333333,0.41772538,0.410954898,0.249366277333333,0.501287535333333,0.374371180333333
ATXN7,0.13544415,0.13544415,0.19202898,0.16318786,0.11428571,0.09437387,0.10544816,0.17395438,0.127897,0.23510723
ATXN7L1,1.3350924,1.3350924,1.1413043,1.7191651,1.681106,1.2504538,1.3119508,1.8079848,1.5407726,1.7609214
ATXN7L3B,5.075857875,5.075857875,5.3396739,5.22722965,4.99976979,4.8291744125,4.308435875,4.952947025,4.358154575,3.74265279
AUH,5.6121373,5.6121373,6.2998185,5.5967746,6.7483873,4.31216,4.6810193,6.603613,6.6429186,4.9594917
AURKA,1.19964822,1.19964822,1.51630432,0.999999965,1.223041425,0.78176042,1.39894555,0.96673012,0.899570885,0.807783935
AURKB,3.878628,3.878628,4.379529,2.5028462,3.0516129,2.1079855,2.7214413,3.1739545,3.2866952,2.5321681
AURKC,1.9401937,1.9401937,2.2300723,2.1043644,2.1345623,1.438294,2.1634445,1.1406845,1.8806868,1.4177918
AUTS2,0.6437995,0.6437995,0.56431156,0.7817837,0.5483871,0.9274047,0.52724075,0.6539925,0.13390559,0.30500397
AVIL,0.3157432,0.3157432,0.4021739,0.142315,0.090322584,0.08711434,0.32073814,0.0513308,0.061802574,0.19142176
AVL9,1.2858399,1.2858399,0.28532606,1.4193549,0.97327185,0.70961887,1.1678382,1.0104563,0.7244635,1.2867355
AVP,0.043975376,0.043975376,0.038043477,0.07020873,0.088479266,0.077132486,0.13268892,0.09030419,0.1527897,0.1683876
AVPR1A,0.043975376,0.043975376,0.08695652,0.040796965,0.016589861,0.046279494,0.021089632,0.034220535,0.034334764,0.031771246
AVPR1B,1.0756377,1.0756377,1.5516304,1.08776094,1.58525334,1.9228676,1.29745165,1.71577975,0.94034336,1.67275615
AVPR2,0.35532105,0.35532105,0.4012681,0.41840607,0.5824885,1.1569873,0.8734622,0.38593158,0.311588,0.30182683
AXIN1,0.8399297,0.8399297,0.95108694,0.65275145,0.6184332,0.7849365,0.9042179,1.4258556,0.7862661,0.72438437
AXL,0.269129288666667,0.269129288666667,0.224335742,0.155913986333333,0.211981574666667,0.429522086666667,0.277680143333333,0.23320661,0.293562225333333,0.284087906666667
AZGP1,0.13720317,0.13720317,0.08514492,0.30265656,0.17695853,0.08983666,0.58084357,0.19391637,0.06781116,0.20095313
AZI1,0.7871592,0.7871592,1.1711956,0.98197347,0.9336406,0.5099819,0.89367306,0.49524716,0.35879827,1.6584591
AZIN1,3.15039583333333,3.15039583333333,3.45501193333333,3.46616066666667,3.01628263333333,2.16757416666667,2.1616871,2.1295945,2.1470673,2.27693936666667
AZU1,0.30958664,0.30958664,0.3731884,0.3235294,0.25898618,0.47549912,0.34710017,0.39828902,0.38540775,0.4559174
B2M,14.578424,14.578424,15.5323063333333,17.237192,13.7831036666667,13.3003636666667,14.0659043333333,12.5012686666667,10.6226038333333,13.0336243333333
B3GALNT1,0.15919086,0.15919086,0.038949277,0.08633777,0.1843318,0.16243194,0.19244288,0.019961977,0.27896994,0.032565527
B3GALT2,0.044854883,0.044854883,0.030797102,0.024667932,0.053456225,0.022686027,0.03954306,0.06273764,0.0360515,0.036536932
B3GALT4,1.5936676,1.5936676,1.4936593,2.0113852,1.80553,1.2885662,2.526362,2.0237644,1.160515,0.39396346
B3GALT5,2.1380827,2.1380827,2.9519925,2.259962,2.2525344,2.4174228,1.4138839,2.2709126,2.6987123,2.6703734
B3GAT2,0.054529466,0.054529466,0.05887681,0.07590133,0.10506912,0.07803994,0.083479784,0.12167301,0.08412018,0.14853059
B3GAT3,2.1345646,2.1345646,1.7699274,2.3187857,2.2331798,2.0562615,2.0043936,2.3821294,2.6669528,1.923749
B3GNT1,1.4503078,1.4503078,1.4076086,1.9136622,1.6175115,1.1252269,1.9797891,2.5095057,1.8334764,0.274027
B3GNT3,1.344767,1.344767,0.37681156,0.32068312,0.19354838,0.853902,0.5729349,0.96577954,0.6686695,0.8014297
B3GNTL1,0.45998242,0.45998242,0.2753623,0.23624289,0.22949308,0.6833031,0.21177505,0.29467684,0.35536483,0.36378077
B4GALNT1,0.3412489,0.3412489,0.23731884,0.67457306,0.24608296,0.6569873,0.19771528,0.44391638,0.31931332,0.6783161
B4GALT1,9.55365075,9.55365075,9.0774455,8.397058865,7.94377845,6.020417765,4.91915632,7.89638789,5.580257565,5.1799048
B4GALT2,5.7080035,5.7080035,5.3315215,6.613852,5.540092,5.037205,4.717047,6.6340313,5.87897,3.765687
B4GALT3,8.104662,8.104662,9.371376,10.333017,9.234101,9.048095,8.760105,7.6882133,8.88927,6.328832
B4GALT4,1.9991206,1.9991206,2.6114128,2.3899431,2.4313364,2.154265,2.046573,2.0465782,1.9313304,1.8776807
B4GALT5,0.33025506,0.33025506,0.72871375,0.357685045,0.36359446,0.287205085,0.565465725,0.8127377,0.45364809,0.802621155
B4GALT6,0.05364996,0.05364996,0.04347826,0.036053132,0.045161292,0.07531761,0.031634446,0.06558936,0.0472103,0.053216837
B9D1,2.0914688,2.0914688,2.508152,1.99241,1.7935485,2.110708,1.741652,1.3041825,1.7562232,1.446386
BAAT,0.036059808,0.036059808,0.041666664,0.07590133,0.07373272,0.112522684,0.021968365,0.055133086,0.06523605,0.038919777
BACH1,1.814424,1.814424,1.8016304,1.4089184,1.6976959,1.6179674,1.5984182,1.4790876,1.2738197,1.4980143
BAD,2.164468,2.164468,1.8451086,2.0132828,2.096774,2.4591653,1.8919157,1.991445,1.4781115,1.5496426
BAG1,2.1495163,2.1495163,2.5271738,2.92315,2.6525345,2.8502724,2.5193322,2.7338405,2.3081543,2.0802224
BAG2,1.8029904,1.8029904,1.713768,1.8975332,1.542857,1.5580763,1.4806678,2.1083653,1.2111589,1.887212
BAG5,4.1627088,4.1627088,3.5416665,2.8406072,3.3797235,3.802178,3.3110719,4.5570345,3.2248929,2.3574264
BAGE,1.460862,1.460862,1.0815217,1.2912714,0.7585254,0.9673321,1.1854129,0.7804183,0.8111588,1.2096902
BAHD1,2.6174145,2.6174145,3.004529,3.0037951,2.886636,2.9682398,2.8022847,2.5836504,2.4738197,2.3351867
BAI1,0.81970096,0.81970096,0.73188406,0.75806457,0.8552996,0.74500906,0.758348,0.6064639,0.9004292,0.8999206
BAI2,1.3324538,1.3324538,2.097826,0.70113856,0.7078341,0.8321234,0.7407733,3.8203423,1.8978541,0.76012707
BAI3,0.0400175925,0.0400175925,0.0597826065,0.0445920315,0.1202764985,0.093466425,0.159050974,0.0841254825,0.078540773,0.1445591685
BAIAP2,4.0277047,4.0277047,4.72826075,5.87476285,5.87788,4.9441925,4.5430579,4.54515215,4.47510715,4.1584588
BAIAP3,0.82058054,0.82058054,0.6865942,0.66698295,0.78986174,0.6506352,0.42530757,0.8089354,0.56051505,0.74900717
BAK1,0.57695691,0.57695691,0.42617754,1.62096775,1.066820335,1.2622505,0.31195079,0.216254765,0.35751073,0.63661638
