GSM476081,GSM476082,GSM476083,GSM476084,GSM476085,GSM476086,GSM476087,GSM476088,GSM476089,GSM476090,GSM476091,GSM476092,GSM476093,GSM476094,GSM476095,GSM476096
13.07065313,13.09132483,13.08215963,13.22528903,12.00434232,12.25180949,12.05208368,12.09330262,13.31669247,13.42614628,13.41895837,13.3829775,12.18846316,12.36624184,12.29913937,12.53147092
9.49962756166667,8.97235938166667,9.417537336,9.36707482866667,11.89817302,11.64456628,11.54277489,12.04461119,10.7487858423333,10.814626914,10.8170796123333,10.3720867663333,11.8091293333333,11.68316613,11.3039559733333,11.56522177
11.4620644045,11.2584331535,11.606828925,11.505039875,13.94645279,14.225059395,14.03022039,14.430699245,13.679874655,13.8218174,13.56401529,13.523320745,14.53283708,14.654114645,14.6545232,14.525775845
9.828301275,9.656540366,10.61356514,10.08837544,12.73710707,13.18727537,13.17669135,13.65865716,12.42845905,12.29718576,12.51227883,12.38836812,13.22096167,13.26840664,13.17423486,13.23967261
11.95568997,11.88753877,11.90137424,12.11349303,13.01644341,13.03786094,13.00256854,13.18775532,12.56261253,12.51610006,12.49997213,12.51851912,12.8687698,13.09659282,12.79980998,12.94291144
9.050740104,8.679060447,9.249736324,9.12827972,6.727356982,8.731289664,8.587694186,8.717391976,8.702837667,8.310288616,8.532061496,8.60862717,8.747642079,8.63580678,8.60862717,9.282806816
10.14987346,10.02475407,9.825273648,9.971752796,11.0033389,11.1516672,10.86013739,10.9636312,10.70712404,10.66581019,10.62072955,10.45020615,10.39759157,10.29782525,9.978716138,10.19606738
14.67918518,14.66009159,14.44241952,14.64252549,14.51848923,14.58040283,14.53612795,14.55296288,14.79449356,14.80460012,14.64862113,14.83998098,14.50385136,14.54270624,14.5291335,14.69404715
13.32785871,13.24840306,13.30396536,13.42113951,13.2742145,13.18854598,13.25355704,13.41701983,13.26954672,13.1499356,13.2504308,13.20771067,13.29958872,13.33017858,13.25881571,13.31125134
11.98012631,12.10373061,12.00082445,11.91100269,11.25244316,11.46851587,11.62335912,11.44229335,11.6474682,11.59297909,11.59112483,11.48619054,11.98174984,12.00113259,11.91954884,11.9234656
14.29740339,14.43400592,14.38989251,14.35762202,13.84181278,14.04409829,14.02763531,14.00989658,14.23359277,14.12429918,14.29572596,14.18906477,14.23546838,14.27817242,14.28376863,14.29205178
10.44797752,10.28474649,10.4980258,10.70312449,10.29931014,10.28618446,10.29296021,10.2928558,10.13561587,10.14230395,10.28474649,10.28474649,10.28474649,10.28474649,10.28474649,10.28474649
10.97158202,11.19284396,11.17443218,11.23111061,10.04700855,10.5848828,10.28600254,10.58038854,10.80649559,10.61710437,10.8883523,10.79796433,10.26105346,10.68830144,10.37733586,10.56427815
11.0556289,11.17839888,11.1709415,11.3774821,9.421516831,9.896176862,9.703480641,10.38640374,10.58258845,10.47715119,10.52558396,10.95357135,11.04064488,11.59413697,11.21945785,11.67584323
11.76472257,11.59100712,11.51849621,11.74336412,12.42627437,12.49242219,12.51075093,12.65900879,12.10745047,12.1285729,12.09566376,12.23484506,12.08164772,12.22706649,12.22743668,12.30510802
11.0354946,11.20934967,11.11081636,11.15636061,10.82602976,10.75367244,10.74494723,10.61845495,10.94746176,10.78263198,11.01903397,11.05387722,10.32174718,10.51454727,10.74145215,10.60864585
12.79249768,12.70011227,13.05603626,12.52536344,13.6967291,13.45228442,14.00631429,13.52334038,13.00110298,13.22800692,13.35831803,13.03098671,13.28688083,13.18591536,13.66144949,12.89557326
13.37662261,13.38243755,13.32804645,13.3041424,13.93783231,13.86142137,13.9644195,13.88219478,13.38629277,13.56703872,13.51696025,13.48539576,13.73346267,13.64612236,13.75446696,13.58904104
13.53728746,13.28190485,13.55867359,13.31571639,14.20179799,13.96075338,14.23898173,14.00083929,13.58682359,13.83355661,13.86575488,13.63584089,13.91136981,13.66411751,13.98054304,13.71534923
13.30819536,13.04777989,13.20446177,13.09553692,13.99445367,13.85705165,13.98133845,13.76089497,12.85463146,13.08828389,13.02113515,12.93116454,13.37959967,13.14131619,13.218848,13.04629606
