29	ALOX15	148	ERG	-0.0450968929302057
30	ALOX15B	35	ANPEP	-0.141163278525395
30	ALOX15B	94	CNTNAP2	-0.00483637669841588
30	ALOX15B	148	ERG	0.0102128477348502
35	ANPEP	30	ALOX15B	-0.141163278521279
94	CNTNAP2	30	ALOX15B	-0.004836376698285
148	ERG	29	ALOX15	-0.0450968854565511
148	ERG	30	ALOX15B	0.0102128466229373
148	ERG	153	F5	-0.00525815661055317
148	ERG	176	GHR	-0.0112515098216914
148	ERG	199	HPGD	0.0510883589628834
148	ERG	310	PLA2G7	-0.11447664053279
153	F5	148	ERG	-0.00525815739290018
175	GDF15	200	HPN	-0.00606903255635446
176	GHR	148	ERG	-0.0112515113976208
199	HPGD	148	ERG	0.0510883585623447
200	HPN	175	GDF15	-0.00606903255635446
213	IL6	214	IL8	-0.0521231869989272
213	IL6	313	PLAUR	-0.0213555304321079
214	IL8	213	IL6	-0.0521231435483372
237	KRT5	402	TRIM29	-0.0608712453868199
310	PLA2G7	148	ERG	-0.114476640591877
313	PLAUR	213	IL6	-0.0213555304321079
353	SERPINB5	402	TRIM29	-0.0895900164609162
402	TRIM29	237	KRT5	-0.0608712453987367
402	TRIM29	353	SERPINB5	-0.0895900164609935
