1	ABCA5	71	CD14	0.080403279518701
1	ABCA5	270	MTHFD2	-0.0122089851410234
1	ABCA5	281	NFKBIB	0.0947393041057628
1	ABCA5	300	PDK4	-0.0181367122866374
1	ABCA5	306	PIK3R2	0.0967290161481196
1	ABCA5	313	PLAUR	0.00932667913910519
1	ABCA5	317	PLN	-0.0238903007345697
10	ADIPOQ	155	FABP4	-0.0414234015188331
28	ALOX12B	389	TIMP3	-0.0299590705909539
29	ALOX15	148	ERG	-0.14469810635042
30	ALOX15B	35	ANPEP	-0.257637546135366
30	ALOX15B	94	CNTNAP2	-0.0709119680059218
30	ALOX15B	148	ERG	0.0526067470519912
30	ALOX15B	175	GDF15	-0.0262516937291402
30	ALOX15B	256	MME	-0.0174511533492442
30	ALOX15B	276	NAT1	-0.0417028043553004
35	ANPEP	30	ALOX15B	-0.257637540582823
35	ANPEP	94	CNTNAP2	-0.0104740190157348
35	ANPEP	148	ERG	0.0175786169802614
35	ANPEP	402	TRIM29	-0.0112445187640339
45	APOE	300	PDK4	0.0150559634543386
71	CD14	1	ABCA5	0.0804032807364319
80	CDKN1A	213	IL6	-0.0291390575192074
87	CHGA	327	PSCA	-3.9318628292691e-05
94	CNTNAP2	30	ALOX15B	-0.0709119662516338
94	CNTNAP2	35	ANPEP	-0.0104740195860042
94	CNTNAP2	148	ERG	0.0240454600159385
138	EMP1	213	IL6	-0.0151662220499589
143	ERBB3	200	HPN	-0.0500264699481554
148	ERG	29	ALOX15	-0.144698125203876
148	ERG	30	ALOX15B	0.0526067508173111
148	ERG	35	ANPEP	0.0175786722865606
148	ERG	94	CNTNAP2	0.0240454628475294
148	ERG	153	F5	-0.0638116421571075
148	ERG	176	GHR	-0.112132162213008
148	ERG	190	GUCY1A3	-0.0104551021418198
148	ERG	199	HPGD	0.124648409369052
148	ERG	276	NAT1	0.0548049426038263
148	ERG	310	PLA2G7	-0.214041590123903
148	ERG	325	PRAME	-0.00350722086729509
153	F5	148	ERG	-0.0638116469598853
153	F5	310	PLA2G7	-0.0584761299586662
155	FABP4	10	ADIPOQ	-0.041423449332019
155	FABP4	185	GREM1	-0.046351280600322
156	FASN	175	GDF15	-0.0438369688961941
156	FASN	200	HPN	-0.147093654681145
156	FASN	317	PLN	0.0656680609152194
161	FGFR2	188	GSTP1	-0.0217119929500943
